point,process,role,description,source_page,include_as_sensor,include_as_control,mapping_confidence
P1_B2004,P1,SP,Heat-exchanger outlet pressure setpoint,12,false,true,high
P1_B2016,P1,SP,Pressure demand for thermal-power control,12,false,true,high
P1_B3004,P1,SP,Return-water tank level setpoint,12,false,true,high
P1_B3005,P1,SP,Return-water discharge-flow setpoint,12,false,true,high
P1_B4002,P1,SP,Heat-exchanger outlet temperature setpoint,12,false,true,high
P1_B4005,P1,CO,Temperature-controller output,12,false,true,high
P1_B400B,P1,SP,Heating-water outflow setpoint,12,false,true,high
P1_B4022,P1,SP,Temperature demand for thermal-power control,12,false,true,high
P1_FCV01D,P1,CO,FCV01 valve position command,12,false,true,high
P1_FCV01Z,P1,ACTUATOR_STATE,FCV01 valve current position,12,false,true,high
P1_FCV02D,P1,CO,FCV02 valve position command,12,false,true,high
P1_FCV02Z,P1,ACTUATOR_STATE,FCV02 valve current position,12,false,true,high
P1_FCV03D,P1,CO,FCV03 valve position command,12,false,true,high
P1_FCV03Z,P1,ACTUATOR_STATE,FCV03 valve current position,12,false,true,high
P1_FT01,P1,PV,Return-water tank measured flow,12,true,false,high
P1_FT01Z,P1,MODEL_SIGNAL,Flow converted from FT01,12,true,false,high
P1_FT02,P1,PV,Heating-water tank measured flow,12,true,false,high
P1_FT02Z,P1,MODEL_SIGNAL,Flow converted from FT02,12,true,false,high
P1_FT03,P1,PV,Return-water tank measured flow,12,true,false,high
P1_FT03Z,P1,MODEL_SIGNAL,Flow converted from FT03,12,true,false,high
P1_LCV01D,P1,CO,LCV01 valve position command,12,false,true,high
P1_LCV01Z,P1,ACTUATOR_STATE,LCV01 valve current position,12,false,true,high
P1_LIT01,P1,PV,Return-water tank level,13,true,false,high
P1_PCV01D,P1,CO,PCV01 valve position command,13,false,true,high
P1_PCV01Z,P1,ACTUATOR_STATE,PCV01 valve current position,13,false,true,high
P1_PCV02D,P1,CO,PCV02 valve position command,13,false,true,high
P1_PCV02Z,P1,ACTUATOR_STATE,PCV02 valve current position,13,false,true,high
P1_PIT01,P1,PV,Heat-exchanger outlet pressure,13,true,false,high
P1_PIT02,P1,PV,Heating-water pump supply pressure,13,true,false,high
P1_PP01AD,P1,CO,Main-water pump PP01A start command,13,false,true,high
P1_PP01AR,P1,ACTUATOR_STATE,Main-water pump PP01A running state,13,false,true,high
P1_PP01BD,P1,CO,Main-water pump PP01B start command,13,false,true,high
P1_PP01BR,P1,ACTUATOR_STATE,Main-water pump PP01B running state,13,false,true,high
P1_PP02D,P1,CO,Heating-water pump PP02 start command,13,false,true,high
P1_PP02R,P1,ACTUATOR_STATE,Heating-water pump PP02 running state,13,false,true,high
P1_STSP,P1,MODE,Boiler DCS start-stop command,13,false,true,high
P1_TIT01,P1,PV,Heat-exchanger outlet temperature,13,true,false,high
P1_TIT02,P1,PV,Heating-water tank temperature,13,true,false,high
P2_24Vdc,P2,PV,DCS 24-volt input,13,true,false,high
P2_ASD,P2,SP,Automatic speed demand,13,false,true,medium
P2_AutoGO,P2,CO,Automatic start command,13,false,true,medium
P2_CO_rpm,P2,CO,Speed-controller output,13,false,true,medium
P2_Emerg,P2,MODE,Emergency command state,13,false,true,medium
P2_HILout,P2,MODEL_SIGNAL,HIL turbine coupling output,13,true,false,medium
P2_MSD,P2,SP,Manual speed demand,13,false,true,medium
P2_ManualGO,P2,CO,Manual start command,13,false,true,medium
P2_OnOff,P2,MODE,Turbine DCS on-off state,13,false,true,medium
P2_RTR,P2,SP,RPM trip-rate limit,13,false,true,high
P2_SIT01,P2,PV,Turbine speed measurement,13,true,false,high
P2_SIT02,P2,PV,Second turbine speed measurement,13,true,false,medium
P2_TripEx,P2,MODE,Trip emergency-exit state,13,false,true,high
P2_VT01,P2,PV,Key-phasor phase-lag signal,13,true,false,high
P2_VTR01,P2,SP,Vibration limit for sensor 1,13,false,true,high
P2_VTR02,P2,SP,Vibration limit for sensor 2,13,false,true,high
P2_VTR03,P2,SP,Vibration limit for sensor 3,13,false,true,high
P2_VTR04,P2,SP,Vibration limit for sensor 4,13,false,true,high
P2_VXT02,P2,PV,First-wheel X-axis vibration,13,true,false,medium
P2_VXT03,P2,PV,Second-wheel X-axis vibration,13,true,false,medium
P2_VYT02,P2,PV,First-wheel Y-axis vibration,13,true,false,medium
P2_VYT03,P2,PV,Second-wheel Y-axis vibration,13,true,false,medium
P3_FIT01,P3,PV,Upper-tank inflow rate,14,true,false,high
P3_LCP01D,P3,CO,LCP01 pump speed command,14,false,true,high
P3_LCV01D,P3,CO,LCV01 valve position command,14,false,true,high
P3_LH,P3,SP,Upper-tank high-level setpoint,14,false,true,medium
P3_LIT01,P3,PV,Upper-tank water level,14,true,false,high
P3_LL,P3,SP,Upper-tank low-level setpoint,14,false,true,medium
P3_PIT01,P3,PV,Upper-tank inflow pressure,14,true,false,high
P4_HT_FD,P4,MODEL_SIGNAL,Hydro-turbine frequency deviation,14,true,false,high
P4_HT_LD,P4,SP,Hydro-turbine electrical-load demand,14,false,true,high
P4_HT_PO,P4,MODEL_SIGNAL,Hydro-turbine output power,14,true,false,high
P4_HT_PS,P4,SP,Hydro-turbine scheduled-power demand,14,false,true,high
P4_LD,P4,SP,Total electrical-load demand,14,false,true,high
P4_ST_FD,P4,MODEL_SIGNAL,Steam-turbine frequency deviation,14,true,false,high
P4_ST_GOV,P4,CO,Steam-turbine gate-opening command,14,false,true,high
P4_ST_LD,P4,SP,Steam-turbine electrical-load demand,14,false,true,high
P4_ST_PO,P4,MODEL_SIGNAL,Steam-turbine output power,14,true,false,high
P4_ST_PS,P4,SP,Steam-turbine scheduled-power demand,14,false,true,high
P4_ST_PT01,P4,MODEL_SIGNAL,Steam-pressure digital signal,14,true,false,high
P4_ST_TT01,P4,MODEL_SIGNAL,Steam-temperature digital signal,14,true,false,high
