mode,fault_id,channel,stable_architecture_count,stable_architectures,raw_stable_architecture_count,raw_stable_architectures,excluded_after_quality_or_ci,two_architecture_consensus,three_architecture_consensus
conditional,1,1,0,,0,,,False,False
conditional,1,2,0,,0,,,False,False
conditional,1,3,0,,0,,,False,False
conditional,1,4,0,,0,,,False,False
conditional,1,5,0,,0,,,False,False
conditional,1,6,0,,0,,,False,False
conditional,1,7,0,,0,,,False,False
conditional,1,8,0,,0,,,False,False
conditional,1,9,0,,0,,,False,False
conditional,1,10,0,,0,,,False,False
conditional,1,11,0,,0,,,False,False
conditional,2,1,0,,0,,,False,False
conditional,2,2,0,,0,,,False,False
conditional,2,3,0,,0,,,False,False
conditional,2,4,0,,0,,,False,False
conditional,2,5,0,,0,,,False,False
conditional,2,6,0,,0,,,False,False
conditional,2,7,0,,0,,,False,False
conditional,2,8,0,,0,,,False,False
conditional,2,9,0,,0,,,False,False
conditional,2,10,0,,0,,,False,False
conditional,2,11,0,,0,,,False,False
conditional,3,1,0,,0,,,False,False
conditional,3,2,0,,0,,,False,False
conditional,3,3,0,,0,,,False,False
conditional,3,4,0,,0,,,False,False
conditional,3,5,0,,0,,,False,False
conditional,3,6,0,,0,,,False,False
conditional,3,7,0,,0,,,False,False
conditional,3,8,0,,0,,,False,False
conditional,3,9,0,,0,,,False,False
conditional,3,10,0,,0,,,False,False
conditional,3,11,0,,0,,,False,False
conditional,4,1,0,,0,,,False,False
conditional,4,2,0,,0,,,False,False
conditional,4,3,0,,0,,,False,False
conditional,4,4,0,,0,,,False,False
conditional,4,5,0,,0,,,False,False
conditional,4,6,0,,0,,,False,False
conditional,4,7,0,,0,,,False,False
conditional,4,8,0,,0,,,False,False
conditional,4,9,0,,0,,,False,False
conditional,4,10,0,,3,"gru,tcn,transformer","gru,tcn,transformer",False,False
conditional,4,11,0,,0,,,False,False
conditional,5,1,0,,0,,,False,False
conditional,5,2,0,,0,,,False,False
conditional,5,3,0,,0,,,False,False
conditional,5,4,0,,0,,,False,False
conditional,5,5,0,,0,,,False,False
conditional,5,6,0,,0,,,False,False
conditional,5,7,0,,0,,,False,False
conditional,5,8,0,,0,,,False,False
conditional,5,9,0,,0,,,False,False
conditional,5,10,0,,0,,,False,False
conditional,5,11,0,,0,,,False,False
conditional,6,1,0,,0,,,False,False
conditional,6,2,0,,0,,,False,False
conditional,6,3,0,,0,,,False,False
conditional,6,4,0,,0,,,False,False
conditional,6,5,0,,0,,,False,False
conditional,6,6,0,,0,,,False,False
conditional,6,7,0,,0,,,False,False
conditional,6,8,0,,0,,,False,False
conditional,6,9,0,,0,,,False,False
conditional,6,10,0,,0,,,False,False
conditional,6,11,0,,0,,,False,False
conditional,7,1,0,,0,,,False,False
conditional,7,2,0,,0,,,False,False
conditional,7,3,0,,0,,,False,False
conditional,7,4,0,,0,,,False,False
conditional,7,5,0,,0,,,False,False
conditional,7,6,0,,0,,,False,False
conditional,7,7,0,,0,,,False,False
conditional,7,8,0,,0,,,False,False
conditional,7,9,0,,0,,,False,False
conditional,7,10,0,,0,,,False,False
conditional,7,11,0,,0,,,False,False
conditional,8,1,0,,0,,,False,False
conditional,8,2,0,,0,,,False,False
conditional,8,3,0,,0,,,False,False
conditional,8,4,0,,0,,,False,False
conditional,8,5,0,,0,,,False,False
conditional,8,6,0,,0,,,False,False
conditional,8,7,0,,0,,,False,False
conditional,8,8,0,,0,,,False,False
conditional,8,9,0,,0,,,False,False
conditional,8,10,0,,0,,,False,False
conditional,8,11,0,,0,,,False,False
conditional,9,1,0,,0,,,False,False
conditional,9,2,0,,0,,,False,False
conditional,9,3,0,,0,,,False,False
conditional,9,4,0,,0,,,False,False
conditional,9,5,0,,0,,,False,False
conditional,9,6,0,,0,,,False,False
conditional,9,7,0,,0,,,False,False
conditional,9,8,0,,0,,,False,False
conditional,9,9,0,,0,,,False,False
conditional,9,10,0,,0,,,False,False
conditional,9,11,0,,0,,,False,False
conditional,10,1,0,,0,,,False,False
conditional,10,2,0,,0,,,False,False
conditional,10,3,0,,0,,,False,False
conditional,10,4,0,,0,,,False,False
conditional,10,5,0,,0,,,False,False
conditional,10,6,0,,0,,,False,False
conditional,10,7,0,,0,,,False,False
conditional,10,8,0,,0,,,False,False
conditional,10,9,0,,0,,,False,False
conditional,10,10,0,,0,,,False,False
conditional,10,11,0,,0,,,False,False
conditional,11,1,0,,0,,,False,False
conditional,11,2,0,,0,,,False,False
conditional,11,3,0,,0,,,False,False
conditional,11,4,0,,0,,,False,False
conditional,11,5,0,,0,,,False,False
conditional,11,6,0,,0,,,False,False
conditional,11,7,0,,0,,,False,False
conditional,11,8,0,,0,,,False,False
conditional,11,9,0,,0,,,False,False
conditional,11,10,0,,1,gru,gru,False,False
conditional,11,11,0,,0,,,False,False
conditional,12,1,0,,0,,,False,False
conditional,12,2,0,,0,,,False,False
conditional,12,3,0,,0,,,False,False
conditional,12,4,0,,0,,,False,False
conditional,12,5,0,,0,,,False,False
conditional,12,6,0,,0,,,False,False
conditional,12,7,0,,0,,,False,False
conditional,12,8,0,,0,,,False,False
conditional,12,9,0,,0,,,False,False
conditional,12,10,0,,0,,,False,False
conditional,12,11,0,,0,,,False,False
conditional,13,1,0,,0,,,False,False
conditional,13,2,0,,0,,,False,False
conditional,13,3,0,,0,,,False,False
conditional,13,4,0,,0,,,False,False
conditional,13,5,0,,0,,,False,False
conditional,13,6,0,,0,,,False,False
conditional,13,7,0,,0,,,False,False
conditional,13,8,0,,0,,,False,False
conditional,13,9,0,,0,,,False,False
conditional,13,10,0,,0,,,False,False
conditional,13,11,0,,0,,,False,False
conditional,14,1,0,,0,,,False,False
conditional,14,2,0,,0,,,False,False
conditional,14,3,0,,0,,,False,False
conditional,14,4,0,,0,,,False,False
conditional,14,5,0,,0,,,False,False
conditional,14,6,0,,0,,,False,False
conditional,14,7,0,,0,,,False,False
