architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr
tcn,42,conditional_XMV_01,conditional,1.0,1,20,0.8593161702156067,0.9953444352159468,0.997632010384271,0.009,1.0,4.65,0.9953546511627906,0.997637609415538,0.00875,1.0215946843805668e-05,5.599031267067289e-06,0.0002499999999999985
tcn,42,conditional_XMV_01,conditional,1.0,2,20,0.8593161702156067,0.9897482765780732,0.9946876350719908,0.01025,1.0,12.8,0.989595722591362,0.9946016876488823,0.01,-0.00015255398671121245,-8.59474231084123e-05,0.0002500000000000002
tcn,42,conditional_XMV_01,conditional,1.0,3,20,0.8593161702156067,0.5488052740863787,0.6379822432203848,0.01,0.0,302.0,0.5483543604651163,0.6376179805107294,0.00975,-0.0004509136212623721,-0.0003642627096553941,0.0002500000000000002
tcn,42,conditional_XMV_01,conditional,1.0,4,20,0.8593161702156067,0.7147657599667774,0.7665615461132727,0.00975,1.0,2.0,0.7220312707641195,0.7729951495543043,0.01025,0.007265510797342167,0.00643360344103161,-0.0005000000000000004
tcn,42,conditional_XMV_01,conditional,1.0,5,20,0.8593161702156067,0.4994461378737541,0.6049993581996878,0.01,0.0,302.0,0.4995777408637873,0.6051260455288232,0.01025,0.0001316029900332305,0.00012668732913545533,-0.0002500000000000002
tcn,42,conditional_XMV_01,conditional,1.0,6,20,0.8593161702156067,0.9981329318936876,0.9991191963086372,0.00875,1.0,1.0,0.9981306478405316,0.9991180828277008,0.009,-2.2840531559431554e-06,-1.1134809364543585e-06,-0.0002499999999999985
tcn,42,conditional_XMV_01,conditional,1.0,7,20,0.8593161702156067,0.996646511627907,0.9983814796521177,0.0105,1.0,2.0,0.9966516611295682,0.9983839725729456,0.01025,5.149501661194655e-06,2.4929208279900195e-06,0.0002500000000000002
tcn,42,conditional_XMV_01,conditional,1.0,8,20,0.8593161702156067,0.9663470099667774,0.9831962739488158,0.00875,1.0,24.6,0.9661705564784052,0.9830932842072032,0.009,-0.00017645348837214136,-0.00010298974161260244,-0.0002499999999999985
tcn,42,conditional_XMV_01,conditional,1.0,9,20,0.8593161702156067,0.5412818106312293,0.6346147706915078,0.011,0.0,302.0,0.5415073297342192,0.6344804474542073,0.011,0.00022551910298995725,-0.00013432323730055984,0.0
tcn,42,conditional_XMV_01,conditional,1.0,10,20,0.8593161702156067,0.9234930024916944,0.9594713174911208,0.011,1.0,36.45,0.9237054401993356,0.9595857673744044,0.0105,0.00021243770764123315,0.00011444988328357386,0.0004999999999999987
