architecture,mode,fault_id,channel,mean_delta_auroc,median_delta_auroc,min_delta_auroc,mean_delta_auprc,positive_auroc_seeds,max_abs_pre_fpr_shift,stable_material_raw,method,r2,std_ratio,wasserstein,ks_statistic,observed_lag1,predicted_lag1,observed_std,imputer_reliable,stable_material,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high,run_ci_excludes_zero
gru,conditional,1,1.0,-2.5074750830533788e-05,-2.2300664451524455e-05,-3.243355481741261e-05,-1.2649943081899373e-05,0,0.0010000000000000009,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,1,2.0,1.8023255814236804e-06,-5.107973421902834e-06,-2.279900332236018e-05,2.385227831447345e-06,2,0.0007500000000000007,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
gru,conditional,1,3.0,1.1320598006658856e-05,1.465946843859367e-05,-1.910299003426985e-06,3.6034773006399234e-06,4,0.0004999999999999987,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
gru,conditional,1,4.0,5.611295681069439e-05,4.921096345511522e-05,3.509136212642705e-05,2.7726683626760894e-05,5,0.0010000000000000009,False,legacy_mean,0.578858077860626,0.7629849314689636,0.188949346998356,0.0666544735431671,0.6053401041017571,0.6451221459408996,0.995981752872467,True,False,,,,,,,False
gru,conditional,1,5.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,1,6.0,5.083056478394354e-06,5.772425249017665e-06,4.1528239180799176e-08,3.0278342942891e-06,5,0.0002500000000000002,False,legacy_mean,0.997028398791882,0.99845689535141,0.0014378663426005,0.0010824799537658,0.982810815577105,0.9823900750798902,0.9907699823379515,True,False,,,,,,,False
gru,conditional,1,7.0,2.436877076410493e-05,2.462624584720352e-05,6.893687707565377e-06,1.120376060697037e-05,5,0.0005000000000000004,False,legacy_mean,0.7184863700707094,0.8477235436439514,0.1213696854402002,0.0426122844219207,0.8106234837175326,0.886557398930125,0.994693160057068,True,False,,,,,,,False
gru,conditional,1,8.0,-2.177740863786859e-05,-7.807308969987048e-06,-8.928571428568066e-05,-9.775303192260942e-06,2,0.0007500000000000007,False,legacy_mean,0.2974372147454651,0.5468789935112,0.3615364657126344,0.1433535814285278,0.5001105345716035,0.6359453685855146,0.9983698129653932,False,False,,,,,,,False
gru,conditional,1,9.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,1,10.0,-8.255813953450542e-06,2.7823920265568347e-06,-4.800664451820591e-05,-1.8685468234247437e-06,3,0.0012499999999999994,False,legacy_mean,0.1901592773672956,0.4344758987426758,0.4539596056210538,0.1942001581192016,0.1148842134756825,0.4754276976683602,1.00121009349823,False,False,,,,,,,False
gru,conditional,1,11.0,-2.0564784053145323e-05,-9.302325581161952e-06,-6.839700996663645e-05,-8.900367124575758e-06,1,0.0012499999999999994,False,legacy_mean,0.0145931334962615,0.1211393773555755,0.7025116868592033,0.3832193613052368,-0.013847639476689,-0.2776265762891957,0.9969984889030457,False,False,,,,,,,False
gru,conditional,2,1.0,-0.00022478820597999772,-0.00022792774086399792,-0.00027711794019913416,-0.00011468498052800147,0,0.0007499999999999989,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,2,2.0,2.4003322259202874e-05,1.5074750830623707e-05,-3.114617940336295e-06,1.7333253306106577e-05,4,0.0010000000000000009,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
gru,conditional,2,3.0,1.2500000000104094e-05,2.4501661132214636e-06,-2.865448504918433e-06,6.3172015558832225e-06,3,0.0007499999999999989,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
