architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
tcn,42,original,original,,1,20,0.8588079214096069,0.9953546511627906,0.997637609415538,0.00875,1.0,4.65
tcn,42,original,original,,2,20,0.8588079214096069,0.989595722591362,0.9946016876488823,0.01,1.0,13.3
tcn,42,original,original,,3,20,0.8588079214096069,0.5483543604651163,0.6376179805107294,0.00975,0.0,302.0
tcn,42,original,original,,4,20,0.8588079214096069,0.7220312707641195,0.7729951495543043,0.01025,1.0,2.0
tcn,42,original,original,,5,20,0.8588079214096069,0.4995777408637873,0.6051260455288232,0.01025,0.0,302.0
tcn,42,original,original,,6,20,0.8588079214096069,0.9981306478405316,0.9991180828277008,0.009,1.0,1.0
tcn,42,original,original,,7,20,0.8588079214096069,0.9966516611295682,0.9983839725729456,0.01025,1.0,2.0
tcn,42,original,original,,8,20,0.8588079214096069,0.9661705564784052,0.9830932842072032,0.009,1.0,24.7
tcn,42,original,original,,9,20,0.8588079214096069,0.5415073297342192,0.6344804474542073,0.011,0.0,302.0
tcn,42,original,original,,10,20,0.8588079214096069,0.9237054401993356,0.9595857673744044,0.0105,1.0,36.45
tcn,42,original,original,,11,20,0.8588079214096069,0.9543235672757476,0.9744306392718648,0.01125,1.0,9.3
tcn,42,original,original,,12,20,0.8588079214096069,0.7919605897009967,0.8710445526047815,0.01125,1.0,24.55
tcn,42,original,original,,13,20,0.8588079214096069,0.948109219269103,0.9747296414797622,0.00925,1.0,34.5
tcn,42,original,original,,14,20,0.8588079214096069,0.9926059593023256,0.9959307051095432,0.01,1.0,3.9
tcn,42,original,original,,15,20,0.8588079214096069,0.5130689161129568,0.6155146027203375,0.0095,0.0,302.0
tcn,42,original,original,,16,20,0.8588079214096069,0.5083237749169435,0.6061996141842831,0.01225,0.0,302.0
tcn,42,original,original,,17,20,0.8588079214096069,0.9472815822259136,0.9738273430548128,0.0085,1.0,30.6
tcn,42,original,original,,18,20,0.8588079214096069,0.88193646179402,0.935633586019828,0.01025,1.0,57.7
tcn,42,original,original,,19,20,0.8588079214096069,0.9156257059800664,0.952458750830989,0.01075,1.0,30.8
tcn,42,original,original,,20,20,0.8588079214096069,0.937705938538206,0.969007372500789,0.009,1.0,41.85
tcn,42,original,original,,21,20,0.8588079214096069,0.4991127699335548,0.5993950453222893,0.01075,0.0,302.0
tcn,42,original,original,,22,20,0.8588079214096069,0.5587238995016611,0.6474047893190278,0.01125,0.0,302.0
tcn,42,original,original,,23,20,0.8588079214096069,0.5476988579734219,0.6357702579707587,0.01125,0.0,302.0
tcn,42,original,original,,24,20,0.8588079214096069,0.9509314784053156,0.9737261868894238,0.0085,1.0,15.4
tcn,42,original,original,,25,20,0.8588079214096069,0.9105737749169436,0.9516085706303726,0.00725,1.0,19.4
tcn,42,original,original,,26,20,0.8588079214096069,0.8965658430232558,0.943900987456754,0.0105,1.0,30.1
tcn,42,original,original,,27,20,0.8588079214096069,0.7975621470099667,0.871164892617962,0.0085,1.0,22.45
