architecture,mode,fault_id,channel,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high
tcn,conditional,1,1,-2.491694352150242e-06,-1.6947674418623103e-05,1.296096345518425e-05,-5.159773807117407e-07,-7.391703789154158e-06,6.32725621123567e-06
tcn,conditional,1,2,1.2292358803994708e-05,-8.642026578068867e-06,3.355897009966455e-05,5.370935827561096e-06,-3.2232612155768114e-06,1.4230711816728662e-05
tcn,conditional,1,3,2.956810631229212e-05,-5.024916943658917e-07,6.097176079732065e-05,1.28251959689063e-05,-4.3661974494532633e-07,2.6812987668455112e-05
tcn,conditional,1,4,3.9036544850505896e-05,2.3255813953348137e-06,7.625830564784646e-05,1.9249168673307616e-05,2.8961802277558124e-06,3.565706034953369e-05
tcn,conditional,1,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,1,6,3.6378737541538086e-05,2.1926910299010226e-05,5.133305647843864e-05,1.5941973225543915e-05,9.336477664233762e-06,2.2976717432354432e-05
tcn,conditional,1,7,-4.3189368770713e-06,-1.5780730896996275e-05,6.648671096359309e-06,-1.4314974083051712e-06,-6.233791014236295e-06,3.1197376437642747e-06
tcn,conditional,1,8,7.807308970110283e-06,-2.657807308963617e-06,1.9269102990052912e-05,4.551987184228113e-06,-1.5188818328243368e-07,9.783414688073302e-06
tcn,conditional,1,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,1,10,-8.471760797338357e-06,-1.8604651162775322e-05,3.363787375550204e-07,-4.057144251186085e-06,-8.951724155420226e-06,5.127915142230373e-07
tcn,conditional,1,11,-1.0299003322257194e-05,-2.192691029900401e-05,8.305647840615715e-07,-4.471884020684769e-06,-9.306145950456617e-06,4.0552457865647015e-07
tcn,conditional,2,1,-0.00016021594684384577,-0.00019302740863787253,-0.00012798795681062222,-8.793936855139406e-05,-0.00010242291889828021,-7.367040792194449e-05
tcn,conditional,2,2,0.0002270764119601476,0.00019202242524918217,0.0002659551495016914,0.0001201955222526796,0.00010289127632738868,0.00014024053363175272
tcn,conditional,2,3,2.9817275747519022e-05,-2.4098837209285045e-05,8.488579734220884e-05,9.401908180967089e-06,-1.1934906077517184e-05,3.104058039576703e-05
tcn,conditional,2,4,0.0003129568106312441,0.00023005398671097912,0.00039138289036546865,0.0001525577270060352,0.0001169188469940695,0.0001888576897602905
tcn,conditional,2,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,2,6,-1.661129568107045e-05,-3.189784053158901e-05,-1.162790697685684e-06,-1.0660390923287188e-05,-1.7561077244382216e-05,-3.509346760676963e-06
tcn,conditional,2,7,2.906976744187717e-05,6.972591362129604e-06,5.431893687708425e-05,1.756417929952181e-05,6.43242757694279e-06,3.08293811070239e-05
tcn,conditional,2,8,2.6910299003327643e-05,7.304817275746583e-06,4.684800664453171e-05,1.4503185381269378e-05,3.94573647719898e-06,2.4809553257386528e-05
tcn,conditional,2,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,2,10,-5.91362126245798e-05,-8.023255813953928e-05,-4.036129568103716e-05,-3.057576224502201e-05,-4.1310123287521315e-05,-2.0758290218328065e-05
tcn,conditional,2,11,-1.4784053156138289e-05,-3.687707641192717e-05,5.3156146179634275e-06,-5.1786266987741135e-06,-1.547689689031892e-05,4.267571518574366e-06
tcn,conditional,3,1,-0.000502906976744184,-0.0007560901162790737,-0.00024133720930231726,-0.00033373329510573256,-0.0006027838003305407,-9.039609457908024e-05
tcn,conditional,3,2,-0.00047807308970099883,-0.0008253114617940277,-0.00012168189368770937,-0.0006248753899024794,-0.0010503936258550394,-0.0002395608594016374
tcn,conditional,3,3,-4.069767441861161e-05,-0.0004291362126245916,0.0003145245016611176,-0.00036296996361330323,-0.0007653845722403309,2.9071270756147517e-05
tcn,conditional,3,4,0.002514119601328901,0.0017675872093023282,0.003298608803986704,0.0029404324235916433,0.002323280522512954,0.003613851375521935
tcn,conditional,3,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,3,6,-0.00020224252491694684,-0.00042643480066446664,-2.4854651162779855e-06,-0.00014057454123222568,-0.0003386418401296955,8.157313822050565e-05
tcn,conditional,3,7,-2.782392026579039e-05,-0.00014186669435217283,9.72715946843846e-05,-9.383053816560904e-05,-0.00027020486316524963,7.788628174828075e-05
tcn,conditional,3,8,1.5199335548173876e-05,-8.298172757475672e-05,0.00011637043189368858,5.6178912190664173e-05,-6.605778283829383e-05,0.00021233810592267678
tcn,conditional,3,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,3,10,0.00018338870431893083,1.4929401993352411e-05,0.0003616445182724092,0.00019328148738226525,6.693545165060946e-05,0.0003353590886075353
tcn,conditional,3,11,0.00015016611295680659,-1.777616279070576e-05,0.00031104651162790046,7.37668155273008e-05,-0.00016110748614326875,0.0003171892824259767
tcn,conditional,4,1,0.008708471760797346,0.0070974127906976835,0.010159705149501663,0.007173338546856256,0.005901921635021484,0.008298244044406293
tcn,conditional,4,2,-0.011788039867109634,-0.013120913621262454,-0.010599098837209308,-0.009728774985785157,-0.010796760918349087,-0.008686572896480307
tcn,conditional,4,3,0.0018960132890365466,0.000559443521594686,0.0033645182724252477,0.001235635654731071,0.00023101043075529797,0.0023272598747238133
tcn,conditional,4,4,-0.0029749169435215883,-0.004774480897009957,-0.0012550352990033202,-0.0033197396651760635,-0.004881929715814104,-0.001831846531048649
tcn,conditional,4,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,4,6,-0.008128986710963456,-0.012980911544850492,-0.0035705481727574834,-0.006407373912066679,-0.010084141521199566,-0.002873852763101325
tcn,conditional,4,7,-0.004301661129568105,-0.0051568812292358815,-0.0035077574750830604,-0.003256684058000083,-0.0038982449568926,-0.0026679119870363726
tcn,conditional,4,8,-0.0014474252491694295,-0.0020471885382059704,-0.00048377284053156903,-0.001115726463798765,-0.0016069430226213581,-0.00040290616947933114
tcn,conditional,4,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,4,10,0.16496486710963457,0.123824634551495,0.20546735880398667,0.11984073546795868,0.08672998146063904,0.1522584936846502
tcn,conditional,4,11,-9.227574750830691e-05,-0.0002540863787375564,8.556686046511675e-05,-7.338697137790229e-05,-0.0002280210392310056,8.526421600873868e-05
tcn,conditional,5,1,6.727574750830467e-05,-0.00016345307308972165,0.0003052574750830673,0.00010862664850456393,-0.00014871275616926312,0.0003422949027025807
tcn,conditional,5,2,0.00022225913621262084,-7.657807308970434e-05,0.0005274916943521469,0.00021295192543740904,-0.00010145164989977714,0.0005312118610716265
tcn,conditional,5,3,7.62458471760774e-05,-0.00040905523255814686,0.0005322321428571391,-0.00015338171932888,-0.0005472620831853223,0.00025850922826301827
tcn,conditional,5,4,-2.3754152823919904e-05,-0.0005569933554817381,0.0005428156146179393,-0.0006563389244015749,-0.001134345681539125,-0.00016142312418498356
tcn,conditional,5,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,5,6,1.1046511627906818e-05,-0.00017428986710962455,0.00019569559800662923,0.00016048297561092607,-6.149688529374122e-05,0.00037969050281303157
tcn,conditional,5,7,2.0016611295679e-05,-9.37001661129511e-05,0.0001272508305647811,0.00013061065888357758,8.131023048731979e-06,0.00026513659216944815
tcn,conditional,5,8,-7.923588039867147e-05,-0.00017484426910299418,1.4958471760797382e-05,-4.1373264992699e-05,-0.00013221101162071586,4.538986109382657e-05
tcn,conditional,5,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,5,10,7.56644518272409e-05,-2.167774086371379e-06,0.00015431893687707648,8.125794305484324e-05,5.716775100793327e-07,0.00015885489778753406
tcn,conditional,5,11,0.00017765780730896906,-9.784676079733396e-05,0.00046188745847175645,5.3896990634019206e-05,-0.00020886942772989326,0.00032709521805358356
tcn,conditional,6,1,-8.305647840516351e-06,-1.395348837204885e-05,-2.3255813953437787e-06,-3.560541062411771e-06,-5.626404670824759e-06,-1.3662638541593058e-06
tcn,conditional,6,2,1.0631229235869011e-05,1.1627906976484638e-06,1.9439368770762165e-05,3.7923860758326544e-06,-6.815566095919042e-08,7.508237442794857e-06
tcn,conditional,6,3,-2.4418604651137433e-05,-4.9833887043158357e-05,-1.4908637873261246e-06,-1.2093493557545632e-05,-2.230200007792438e-05,-3.022598214604794e-06
tcn,conditional,6,4,-6.29568106312195e-05,-8.803986710961762e-05,-3.920265780731624e-05,-2.3284977456736745e-05,-3.2602314814768496e-05,-1.4262079326228502e-05
tcn,conditional,6,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,6,6,-7.142857142857784e-06,-1.395348837206825e-05,3.3222591360523855e-07,-3.1457645644406005e-06,-5.70966519441482e-06,-4.571947351396943e-07
tcn,conditional,6,7,-3.3222591362069843e-06,-1.013289036541859e-05,4.1528239202693055e-06,-1.3641049611834433e-06,-3.9815536628619305e-06,1.6213767727619977e-06
tcn,conditional,6,8,1.993355481736403e-06,-2.325581395348275e-06,6.6445182724185205e-06,7.138317343424738e-07,-9.622116199811957e-07,2.4738647061264246e-06
tcn,conditional,6,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,6,10,9.96677740869867e-07,-3.8205980066142175e-06,5.481727574747963e-06,5.481742394464195e-07,-1.3292712714486899e-06,2.413508852692341e-06
tcn,conditional,6,11,-4.983388704160597e-07,-7.142857142845682e-06,5.980066445195969e-06,2.3787479642378705e-07,-2.447259590491635e-06,2.92713425237398e-06
tcn,conditional,7,1,4.98338870432713e-07,-1.3127076411976273e-05,1.2790697674418872e-05,8.535207844051484e-07,-4.5551436089047434e-06,5.634144878673611e-06
tcn,conditional,7,2,-3.106312292358027e-05,-4.551495016608792e-05,-1.7271594684367418e-05,-1.2169161301570641e-05,-1.7872736862087207e-05,-6.71118304098553e-06
tcn,conditional,7,3,-1.4285714285711126e-05,-5.1000830564759126e-05,1.4455980066433149e-05,-5.998475598120168e-06,-2.018938295383435e-05,4.934162097016572e-06
tcn,conditional,7,4,-8.471760797352789e-06,-2.9900332225925168e-05,1.2462624584724113e-05,-2.6764957483360607e-06,-1.1105336764899193e-05,5.498204987394084e-06
tcn,conditional,7,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,7,6,-1.6611295681157045e-06,-1.5614617940212905e-05,1.1964285714288902e-05,-9.663715314633947e-07,-6.481621308668112e-06,4.3067200717661035e-06
tcn,conditional,7,7,5.813953488380541e-06,-4.651162790660968e-06,1.5946843853812425e-05,2.238607345533827e-06,-1.7680812779774235e-06,6.205708597552927e-06
tcn,conditional,7,8,-2.3255813953571012e-06,-8.803986710970214e-06,4.1528239202518185e-06,-1.0277153145610284e-06,-3.460422329500501e-06,1.26016101734977e-06
tcn,conditional,7,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,7,10,2.990033222586286e-06,-3.1561461793740142e-06,9.80481727573646e-06,1.4093847232565792e-06,-1.1242178130356494e-06,4.306978985305408e-06
tcn,conditional,7,11,-1.2956810631226112e-05,-2.1931063122937105e-05,-2.990033222601801e-06,-5.394668963859539e-06,-8.816579058691737e-06,-1.6326070631399815e-06
tcn,conditional,8,1,-0.00018031561461791522,-0.00023922342192686437,-0.0001260797342192519,-0.00010224900089936818,-0.00013076697025778193,-7.5700567324288e-05
tcn,conditional,8,2,-1.561461794018282e-05,-6.296926910296402e-05,3.40614617940438e-05,-1.5122894892479755e-05,-3.744789901392648e-05,9.261795791745043e-06
tcn,conditional,8,3,7.142857142859226e-05,-3.853820598004051e-05,0.000176270764119613,5.0484199769327274e-05,7.361145286365895e-07,9.655702499564227e-05
tcn,conditional,8,4,0.0004163621262458528,0.00024106935215946297,0.000591366279069783,0.00025737215263784254,0.00016877961419815393,0.00034437805014237577
tcn,conditional,8,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,8,6,-1.7940199335522156e-05,-5.4821428571399874e-05,2.0103820598050997e-05,-7.011363776058266e-06,-2.4204378497374e-05,1.0020869260397909e-05
tcn,conditional,8,7,6.677740863789472e-05,1.0959302325611626e-05,0.00012244186046515737,4.6496411084692156e-05,1.4202984695147164e-05,7.920674555250321e-05
tcn,conditional,8,8,0.00019825581395350512,0.00013970099667775504,0.00026714078073091955,0.00011348441796769415,8.212638923865363e-05,0.00015109814664352944
tcn,conditional,8,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,8,10,-3.073089700995291e-05,-4.9169435215923626e-05,-1.0627076411952258e-05,-1.8227535135983964e-05,-2.7172405461442978e-05,-9.258755272129442e-06
tcn,conditional,8,11,9.13621262460418e-06,-3.2396179401990936e-05,5.183139534886103e-05,2.6207535825373276e-06,-1.6074851135509076e-05,2.1177309900982172e-05
tcn,conditional,9,1,0.00035282392026578127,0.00019506852159468586,0.000526098421926921,3.387023269292189e-05,-0.00023221822230924186,0.00031629128493466886
tcn,conditional,9,2,-0.0002206810631229228,-0.00047868147840531494,2.6349667774094557e-05,-0.00033560320744799755,-0.0005869207428277204,-7.451877853249743e-05
tcn,conditional,9,3,-0.0003075581395348803,-0.0007743812292358772,0.0001760672757475179,-0.0004367173306160577,-0.0008909140188074664,-2.384975347992561e-05
tcn,conditional,9,4,0.003384966777408646,0.0027815365448505052,0.003973093853820607,0.0032776406442857364,0.002745894220298672,0.0038140276779840407
tcn,conditional,9,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,9,6,4.725913621263289e-05,-0.00010159260797340724,0.00019551910299003733,8.249829867790215e-05,-0.00013819252163657078,0.0002936299881744569
tcn,conditional,9,7,-3.6627906976736126e-05,-0.00014303986710962566,7.460132890366788e-05,3.0336715671086533e-06,-0.0001929815869112612,0.00020249501513207915
tcn,conditional,9,8,8.68770764119653e-05,-6.835548172750865e-06,0.0001783243355481788,0.0001283044729624483,1.989135903713646e-05,0.00024244836205883905
tcn,conditional,9,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,9,10,0.00011029900332226616,-8.941860465115756e-05,0.00031928156146179826,8.47936150795836e-05,-0.00011067232814652888,0.0002813257594517088
tcn,conditional,9,11,-0.0001963455149501614,-0.00036696843853820636,-2.656976744185856e-05,-0.0001783686633048309,-0.0004171556681070593,7.19143094756313e-05
tcn,conditional,10,1,0.00015149501661128383,6.063122923587902e-05,0.00023987126245845873,8.836338200283067e-05,3.588184721538873e-05,0.0001395759766289698
tcn,conditional,10,2,-0.0001742524916943644,-0.0002973463455149518,-5.7279900332249155e-05,-8.87157001145178e-05,-0.00015268875586995945,-3.204479416089671e-05
