mode,fault_id,architecture_left,architecture_right,channels,spearman
conditional,1,gru,tcn,11,0.4794520547945206
conditional,1,gru,transformer,11,0.9086757990867581
conditional,1,tcn,transformer,11,0.46118721461187223
conditional,2,gru,tcn,11,0.726027397260274
conditional,2,gru,transformer,11,0.7625570776255707
conditional,2,tcn,transformer,11,0.8173515981735161
conditional,3,gru,tcn,11,0.4885844748858448
conditional,3,gru,transformer,11,0.7351598173515982
conditional,3,tcn,transformer,11,0.589041095890411
conditional,4,gru,tcn,11,0.9908675799086759
conditional,4,gru,transformer,11,1.0
conditional,4,tcn,transformer,11,0.9908675799086759
conditional,5,gru,tcn,11,0.1415525114155251
conditional,5,gru,transformer,11,0.2968036529680365
conditional,5,tcn,transformer,11,0.46118721461187223
conditional,6,gru,tcn,11,0.12328767123287672
conditional,6,gru,transformer,11,0.5707762557077626
conditional,6,tcn,transformer,11,-0.12328767123287672
conditional,7,gru,tcn,11,0.2968036529680365
conditional,7,gru,transformer,11,-0.11415525114155252
conditional,7,tcn,transformer,11,0.10502283105022833
conditional,8,gru,tcn,11,0.6712328767123288
conditional,8,gru,transformer,11,0.4337899543378996
conditional,8,tcn,transformer,11,0.44292237442922383
conditional,9,gru,tcn,11,0.7442922374429224
conditional,9,gru,transformer,11,0.6986301369863014
conditional,9,tcn,transformer,11,0.497716894977169
conditional,10,gru,tcn,11,0.771689497716895
conditional,10,gru,transformer,11,0.6621004566210046
conditional,10,tcn,transformer,11,0.8264840182648403
conditional,11,gru,tcn,11,0.9360730593607306
conditional,11,gru,transformer,11,0.9360730593607306
conditional,11,tcn,transformer,11,0.9634703196347033
conditional,12,gru,tcn,11,-0.22374429223744294
conditional,12,gru,transformer,11,0.8630136986301371
conditional,12,tcn,transformer,11,-0.3424657534246575
conditional,13,gru,tcn,11,0.33333333333333337
conditional,13,gru,transformer,11,0.3424657534246575
conditional,13,tcn,transformer,11,0.4794520547945206
conditional,14,gru,tcn,11,0.4885844748858448
conditional,14,gru,transformer,11,0.4885844748858448
conditional,14,tcn,transformer,11,0.9086757990867581
conditional,15,gru,tcn,11,0.28767123287671237
conditional,15,gru,transformer,11,0.30593607305936077
conditional,15,tcn,transformer,11,0.30593607305936077
conditional,16,gru,tcn,11,0.3515981735159817
conditional,16,gru,transformer,11,0.680365296803653
conditional,16,tcn,transformer,11,0.4703196347031964
conditional,17,gru,tcn,11,0.16894977168949774
conditional,17,gru,transformer,11,0.12328767123287672
conditional,17,tcn,transformer,11,0.30593607305936077
conditional,18,gru,tcn,11,0.31506849315068497
conditional,18,gru,transformer,11,0.7442922374429224
conditional,18,tcn,transformer,11,0.25114155251141557
conditional,19,gru,tcn,11,0.7442922374429224
conditional,19,gru,transformer,11,0.5525114155251142
conditional,19,tcn,transformer,11,0.8082191780821917
conditional,20,gru,tcn,11,0.6438356164383562
conditional,20,gru,transformer,11,0.33333333333333337
conditional,20,tcn,transformer,11,0.6894977168949772
conditional,21,gru,tcn,11,0.4703196347031964
conditional,21,gru,transformer,11,0.5342465753424658
conditional,21,tcn,transformer,11,0.10502283105022833
conditional,22,gru,tcn,11,0.013698630136986304
conditional,22,gru,transformer,11,0.8904109589041096
conditional,22,tcn,transformer,11,-0.05936073059360731
conditional,23,gru,tcn,11,0.6894977168949772
conditional,23,gru,transformer,11,0.7899543378995434
conditional,23,tcn,transformer,11,0.8630136986301371
conditional,24,gru,tcn,11,0.771689497716895
conditional,24,gru,transformer,11,0.8447488584474885
conditional,24,tcn,transformer,11,0.8173515981735161
conditional,25,gru,tcn,11,0.5616438356164384
conditional,25,gru,transformer,11,0.5525114155251142
conditional,25,tcn,transformer,11,0.7442922374429224
conditional,26,gru,tcn,11,0.54337899543379
conditional,26,gru,transformer,11,0.680365296803653
conditional,26,tcn,transformer,11,0.7899543378995434
conditional,27,gru,tcn,11,0.6255707762557078
conditional,27,gru,transformer,11,0.8447488584474885
conditional,27,tcn,transformer,11,0.8630136986301371
conditional,28,gru,tcn,11,-0.004566210045662101
conditional,28,gru,transformer,11,0.6255707762557078
conditional,28,tcn,transformer,11,-0.05936073059360731
loo_sample,1,tcn,transformer,11,0.4703196347031964
loo_sample,2,tcn,transformer,11,0.7442922374429224
loo_sample,3,tcn,transformer,11,0.9086757990867581
loo_sample,4,tcn,transformer,11,0.9726027397260274
loo_sample,5,tcn,transformer,11,0.7899543378995434
loo_sample,6,tcn,transformer,11,0.54337899543379
loo_sample,7,tcn,transformer,11,0.5251141552511416
loo_sample,8,tcn,transformer,11,-0.0684931506849315
loo_sample,9,tcn,transformer,11,0.497716894977169
loo_sample,10,tcn,transformer,11,0.726027397260274
loo_sample,11,tcn,transformer,11,0.9360730593607306
loo_sample,12,tcn,transformer,11,0.3881278538812785
loo_sample,13,tcn,transformer,11,0.5616438356164384
loo_sample,14,tcn,transformer,11,0.9634703196347033
loo_sample,15,tcn,transformer,11,0.7168949771689498
loo_sample,16,tcn,transformer,11,0.6255707762557078
loo_sample,17,tcn,transformer,11,0.680365296803653
loo_sample,18,tcn,transformer,11,0.6712328767123288
loo_sample,19,tcn,transformer,11,1.0
loo_sample,20,tcn,transformer,11,0.8264840182648403
loo_sample,21,tcn,transformer,11,-0.13242009132420093
loo_sample,22,tcn,transformer,11,0.7168949771689498
loo_sample,23,tcn,transformer,11,0.8904109589041096
loo_sample,24,tcn,transformer,11,0.5707762557077626
loo_sample,25,tcn,transformer,11,0.5981735159817352
loo_sample,26,tcn,transformer,11,0.6529680365296804
loo_sample,27,tcn,transformer,11,0.6255707762557078
loo_sample,28,tcn,transformer,11,0.6438356164383562
zero,1,gru,tcn,11,0.7990867579908677
zero,1,gru,transformer,11,0.9634703196347033
zero,1,tcn,transformer,11,0.7168949771689498
zero,2,gru,tcn,11,0.9178082191780823
zero,2,gru,transformer,11,0.9360730593607306
