variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F0,42,42,1,0.9989478771023411,0.9996378390200727,1.0,6.95,0.0,tcn
F0,42,42,2,0.9976343322497254,0.9991741727312747,1.0,16.3,0.0,tcn
F0,42,42,3,0.5239861054095335,0.7210806536505597,0.0,,0.0,tcn
F0,42,42,4,0.5014313887563657,0.7102767839959272,1.0,4.0,0.0,tcn
F0,42,42,5,0.4933996349757575,0.7047105774162093,0.0,,0.0,tcn
F0,42,42,6,0.9995998786950846,0.9998677537652618,1.0,3.0,0.0,tcn
F0,42,42,7,0.5149702223553617,0.7255140812002476,1.0,4.0,0.0,tcn
F0,42,42,8,0.9924091784920468,0.9974291454639888,1.0,27.9,0.0,tcn
F0,42,42,9,0.5274994575796464,0.7269987466333925,0.0,,0.0,tcn
F0,42,42,10,0.9604806152526137,0.9856430014432106,1.0,39.2,0.0,tcn
F0,42,42,11,0.9446366153463046,0.9790155470039071,1.0,11.15,0.0,tcn
F0,42,42,12,0.807021351021168,0.91857745233215,1.0,27.3,0.0,tcn
F0,42,42,13,0.9888371370560628,0.9963009860936133,1.0,36.8,0.0,tcn
F0,42,42,14,0.997052737435264,0.9988647454103615,1.0,5.9,0.0,tcn
F0,42,42,15,0.5181591917443622,0.7196208204267933,0.0,,0.0,tcn
F0,42,42,16,0.5113639961093668,0.7153934465148646,0.0,,0.0,tcn
F0,42,42,17,0.986199852313731,0.9952276165536945,1.0,32.95,0.0,tcn
F0,42,42,18,0.9353598866588015,0.9761099337710318,1.0,58.85,0.0,tcn
F0,42,42,19,0.7761905695290435,0.9035274201401023,1.0,121.85,0.0,tcn
F0,42,42,20,0.9858179945486755,0.995197367110898,1.0,43.75,0.0,tcn
F0,42,42,21,0.5018331095849374,0.708191205656513,0.0,,0.0,tcn
F0,42,42,22,0.5438109991752745,0.7373052235964829,0.0,,0.0,tcn
F0,42,42,23,0.519260357455013,0.7212540396241174,0.0,,0.0,tcn
F0,42,42,24,0.8814454608662207,0.9518969914025788,1.0,32.95,0.0,tcn
F0,42,42,25,0.6419908183027421,0.8092289982962744,0.7,590.6428571428571,0.0,tcn
F0,42,42,26,0.5430175768850032,0.7389172454986447,0.2,999.75,0.0,tcn
F0,42,42,27,0.7904156388417353,0.9070068996647547,1.0,31.65,0.0,tcn
F0,42,42,28,0.5686833485580864,0.7643807306821726,0.0,,0.0,tcn
F1,42,42,1,0.9989845921800243,0.9996516424243862,1.0,6.45,0.0,tcn
F1,42,42,2,0.9978595168267423,0.9992534614165833,1.0,14.05,0.0,tcn
F1,42,42,3,0.54411014708221,0.7353693577421041,0.0,,0.0,tcn
F1,42,42,4,0.7307865588236382,0.8458303146580168,1.0,4.0,0.0,tcn
F1,42,42,5,0.49446874241073796,0.705017486612537,0.05,4.0,0.0,tcn
F1,42,42,6,0.9996066250482323,0.9998701783751593,1.0,3.0,0.0,tcn
F1,42,42,7,0.9992693073908472,0.9997565251117083,1.0,4.0,0.0,tcn
F1,42,42,8,0.9926478187921531,0.9975104871874588,1.0,26.6,0.0,tcn
F1,42,42,9,0.5440933567067194,0.7382077744512905,0.0,,0.0,tcn
F1,42,42,10,0.9616837529078046,0.9861235487294698,1.0,38.3,0.0,tcn
F1,42,42,11,0.958725105679511,0.9842519489037377,1.0,11.0,0.0,tcn
F1,42,42,12,0.8134581886365402,0.9217011213943117,1.0,27.1,0.0,tcn
F1,42,42,13,0.9889297522495035,0.9963364800056715,1.0,36.45,0.0,tcn
F1,42,42,14,0.997134932610435,0.9989003734257368,1.0,5.8,0.0,tcn
F1,42,42,15,0.5186329127110046,0.7202963644344496,0.0,,0.0,tcn
F1,42,42,16,0.5125172896487705,0.7158930688242015,0.0,,0.0,tcn
F1,42,42,17,0.9850025056122015,0.9947459299502046,1.0,32.7,0.0,tcn
F1,42,42,18,0.9378090100951825,0.9768890360857325,1.0,59.2,0.0,tcn
F1,42,42,19,0.9541904160487389,0.9820323126711955,1.0,35.2,0.0,tcn
F1,42,42,20,0.9848720226978263,0.9948106282166473,1.0,43.35,0.0,tcn
F1,42,42,21,0.5020462160632857,0.7083056626481627,0.0,,0.0,tcn
F1,42,42,22,0.5638643721052936,0.7517215314980343,0.0,,0.0,tcn
F1,42,42,23,0.538159854360135,0.7332106804357821,0.0,,0.0,tcn
F1,42,42,24,0.9678466405072124,0.9879929045816332,1.0,17.65,0.0,tcn
F1,42,42,25,0.9163182263100993,0.9682476164893224,1.0,21.85,0.0,tcn
F1,42,42,26,0.9212619409526134,0.9708607104420018,1.0,32.6,0.0,tcn
F1,42,42,27,0.7983758516924131,0.9114339918224887,1.0,24.7,0.0,tcn
F1,42,42,28,0.571868018649398,0.7663436150609791,0.05,1212.0,0.0,tcn
F0-C,42,42,1,0.9989270000825958,0.9996319663453432,1.0,7.05,0.0,tcn
F0-C,42,42,2,0.9976127094019939,0.9991669492143591,1.0,16.3,0.0,tcn
F0-C,42,42,3,0.5250009492356188,0.7221685048786761,0.0,,0.0,tcn
F0-C,42,42,4,0.5019605722041621,0.7104687864133021,1.0,4.0,0.0,tcn
F0-C,42,42,5,0.49447217876695526,0.7050197842661061,0.0,,0.0,tcn
F0-C,42,42,6,0.9995989880162085,0.9998679604807449,1.0,3.0,0.0,tcn
