variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F0,42,42,1,0.9989360517222463,0.9996322805479043,1.0,7.2,0.0,tcn
F0,42,42,2,0.9974167261479895,0.9990994054917595,1.0,17.05,0.0,tcn
F0,42,42,3,0.5265518738774057,0.723378949547552,0.0,,0.0,tcn
F0,42,42,4,0.5013164172149427,0.7104904370357105,1.0,4.0,0.0,tcn
F0,42,42,5,0.4944564300850984,0.7053337882193931,0.0,,0.0,tcn
F0,42,42,6,0.9995637707583653,0.9998533350359919,1.0,3.0,0.0,tcn
F0,42,42,7,0.5125146823327527,0.7228819691976365,1.0,4.0,0.0,tcn
F0,42,42,8,0.9919914716727134,0.997270383045806,1.0,28.45,0.0,tcn
F0,42,42,9,0.5264484287684962,0.7259666799360917,0.0,,0.0,tcn
F0,42,42,10,0.9590670308279677,0.9851301101558964,1.0,39.7,0.0,tcn
F0,42,42,11,0.9436278675853295,0.9786786265178682,1.0,12.0,0.0,tcn
F0,42,42,12,0.7978175223964131,0.9143815615599891,1.0,28.15,0.0,tcn
F0,42,42,13,0.9887625635032465,0.9962770328255893,1.0,37.4,0.0,tcn
F0,42,42,14,0.996734105542673,0.9987373237678977,1.0,5.9,0.0,tcn
F0,42,42,15,0.5186057423823841,0.7198396556121675,0.0,,0.0,tcn
F0,42,42,16,0.5115604570631143,0.7156594081855191,0.0,,0.0,tcn
F0,42,42,17,0.9859995019594935,0.9951543809067228,1.0,33.1,0.0,tcn
F0,42,42,18,0.9351804657171845,0.9760122427342647,1.0,59.35,0.0,tcn
F0,42,42,19,0.7722944750788667,0.9017162828307711,1.0,123.55,0.0,tcn
F0,42,42,20,0.9857170365603646,0.9951560710546159,1.0,43.8,0.0,tcn
F0,42,42,21,0.5018395230892319,0.7081682007061538,0.0,,0.0,tcn
F0,42,42,22,0.5424520728470534,0.7363368070933443,0.0,,0.0,tcn
F0,42,42,23,0.5203011049349158,0.7212395260481783,0.0,,0.0,tcn
F0,42,42,24,0.856634793307026,0.940805798569329,1.0,37.5,0.0,tcn
F0,42,42,25,0.6314349730454067,0.8032690986855374,0.55,517.0909090909091,0.0,tcn
F0,42,42,26,0.5377597638745579,0.7351326135931643,0.1,1265.0,0.0,tcn
F0,42,42,27,0.7892589428473863,0.9064860634130343,1.0,32.45,0.0,tcn
F0,42,42,28,0.5675240267561167,0.7640739254488005,0.0,,0.0,tcn
F1,42,42,1,0.9989958843855672,0.9996531087917763,1.0,6.65,0.0,tcn
F1,42,42,2,0.9977501913880906,0.9992142599968542,1.0,15.3,0.0,tcn
F1,42,42,3,0.5470850453475743,0.7373922540967208,0.0,,0.0,tcn
F1,42,42,4,0.71047098112747,0.834956218440667,1.0,4.0,0.0,tcn
F1,42,42,5,0.4946663775812737,0.7053645041578223,0.0,,0.0,tcn
F1,42,42,6,0.9995947072101226,0.9998669045497232,1.0,3.0,0.0,tcn
F1,42,42,7,0.9992813176869717,0.9997598970378285,1.0,4.0,0.0,tcn
F1,42,42,8,0.992189609198463,0.997336451833853,1.0,26.6,0.0,tcn
F1,42,42,9,0.542969323047071,0.7372779370153629,0.0,,0.0,tcn
F1,42,42,10,0.9593085465723349,0.985245147348868,1.0,38.45,0.0,tcn
F1,42,42,11,0.9580455546802863,0.984048862957625,1.0,11.3,0.0,tcn
F1,42,42,12,0.8027730624190222,0.9166813061140523,1.0,26.55,0.0,tcn
F1,42,42,13,0.988855662560298,0.996312239618507,1.0,36.5,0.0,tcn
F1,42,42,14,0.9965150108668986,0.9986515623413289,1.0,5.9,0.0,tcn
