variant,seed,split_seed,epochs,input_dim,hidden_dim,parameters,mae_z,rmse_z,auroc,auprc,detected_run_ratio,detection_delay,prefault_sample_fpr,prefault_run_alarm_rate,threshold,elapsed_seconds,architecture
F0,42,42,10,41,32,8425,0.5595707297325134,0.773027777671814,0.7462939027527481,0.8970465346004097,0.6303571428571428,52.54957507082153,0.009909326424870466,0.0,0.8639211058616638,287.4202628000003,tcn
F1,42,42,10,52,32,9481,0.5545278787612915,0.7685391902923584,0.8099607648203091,0.9264823814319779,0.6803571428571429,26.412073490813647,0.009952504317789292,0.0,0.8581146001815796,300.5597729000001,tcn
F0-C,42,42,10,41,35,9526,0.5594711899757385,0.7728486061096191,0.7460243377271709,0.896900485192584,0.6321428571428571,55.40677966101695,0.009668763878608438,0.0,0.8647527694702148,286.2314553999995,tcn
F0,43,42,10,41,32,8425,0.5599151849746704,0.7731776833534241,0.7458513240670149,0.8967979003245975,0.625,50.331428571428575,0.00976745620528004,0.0,0.8647109866142273,292.4127177999999,tcn
F1,43,42,10,52,32,9481,0.5555189847946167,0.768893301486969,0.8060302152187037,0.924936408847058,0.6803571428571429,26.548556430446194,0.009838391315075252,0.0,0.8584792613983154,304.7928692000005,tcn
F0-C,43,42,10,41,35,9526,0.5600433945655823,0.7731335163116455,0.7456026103325392,0.8966670919707901,0.625,46.83428571428571,0.009776708610905502,0.0,0.8643689155578613,308.75601169999936,tcn
F0,44,42,10,41,32,8425,0.5594336986541748,0.7725948691368103,0.7455178204757067,0.8966266796496679,0.625,48.96,0.009647174932149026,0.0,0.8641674518585205,299.53561939999963,tcn
F1,44,42,10,52,32,9481,0.5553574562072754,0.7685052156448364,0.8045147353082076,0.9243409627059671,0.6785714285714286,23.707894736842107,0.00980446582778189,0.0,0.8579250574111938,313.9317375999999,tcn
F0-C,44,42,10,41,35,9526,0.5594351291656494,0.7723773121833801,0.7457693134540803,0.8967789308132783,0.6375,64.70588235294117,0.009736614853195165,0.0,0.8635121583938599,314.52807849999954,tcn
F0,45,42,10,41,32,8425,0.559755802154541,0.7730922698974609,0.7459743933856379,0.8968558578532426,0.6285714285714286,50.08806818181818,0.009705773501110288,0.0,0.864903450012207,316.5453634000005,tcn
F1,45,42,10,52,32,9481,0.5553667545318604,0.7687320709228516,0.8081919453105937,0.9257996083304902,0.6785714285714286,23.557894736842105,0.009943251912163829,0.0,0.8577702641487122,311.94758189999993,tcn
F0-C,45,42,10,41,35,9526,0.5597951412200928,0.7729006409645081,0.7456078423712112,0.8966769465291866,0.6285714285714286,52.44034090909091,0.009810634098198864,0.0,0.8641558289527893,273.99163390000103,tcn
F0,46,42,10,41,32,8425,0.5589474439620972,0.7726657390594482,0.7459795491975513,0.8968363712615081,0.6285714285714286,56.85795454545455,0.009718110041944238,0.0,0.8647361993789673,265.84443929999907,tcn
F1,46,42,10,52,32,9481,0.5547829866409302,0.7684814929962158,0.8100353056629578,0.9265451688727562,0.6803571428571429,26.724409448818896,0.009844559585492229,0.0,0.8579356074333191,276.06944359999943,tcn
F0-C,46,42,10,41,35,9526,0.5590778589248657,0.7725932002067566,0.7460855071281859,0.8969356331481807,0.6303571428571428,54.39376770538244,0.009687268689859363,0.0,0.8646774888038635,266.53417549999904,tcn
F0,42,42,10,41,32,20489,0.5071545243263245,0.7428604960441589,0.7488032005775871,0.8984944394433995,0.6410714285714286,49.76601671309192,0.009943251912163829,0.0,0.8365889191627502,342.444766300001,transformer
F1,42,42,10,52,32,20841,0.493954598903656,0.734664261341095,0.8059217777386498,0.9252079580033776,0.6803571428571429,27.485564304461942,0.009998766345916605,0.0,0.8208208680152893,370.08779250000043,transformer
F0-C,42,42,10,41,32,20489,0.5071545243263245,0.7428604960441589,0.7488032005775871,0.8984944394433995,0.6410714285714286,49.76601671309192,0.009943251912163829,0.0,0.8365889191627502,447.06870060000074,transformer
F0,43,42,10,41,32,20489,0.5000417232513428,0.7379586100578308,0.7478560366748301,0.8980684000069815,0.6482142857142857,57.586776859504134,0.009859980261534666,0.0,0.826143741607666,346.6654561000014,transformer
F1,43,42,10,52,32,20841,0.5048335194587708,0.7375938296318054,0.8096472075283165,0.9267980309818754,0.6803571428571429,23.8005249343832,0.009856896126326177,0.0,0.8246058225631714,350.8144264999992,transformer
F0-C,43,42,10,41,32,20489,0.5000417232513428,0.7379586100578308,0.7478560366748301,0.8980684000069815,0.6482142857142857,57.586776859504134,0.009859980261534666,0.0,0.826143741607666,371.5909389999997,transformer
F0,44,42,10,41,32,20489,0.5059911012649536,0.742516040802002,0.7474469264303211,0.8977909470071319,0.6482142857142857,55.47107438016529,0.010122131754256107,0.0,0.8359519243240356,338.4512286999998,transformer
F1,44,42,10,52,32,20841,0.4920285642147064,0.7338899970054626,0.8038558236267198,0.9243407844737498,0.6785714285714286,24.389473684210525,0.009958672588206267,0.0,0.8197277784347534,349.20546880000074,transformer
F0-C,44,42,10,41,32,20489,0.5059911012649536,0.742516040802002,0.7474469264303211,0.8977909470071319,0.6482142857142857,55.47107438016529,0.010122131754256107,0.0,0.8359519243240356,498.9678507000008,transformer
F0,45,42,10,41,32,20489,0.5163512825965881,0.7472735643386841,0.7463097638387068,0.897159325424273,0.6464285714285715,57.68508287292818,0.010103626943005182,0.0,0.8431453704833984,459.1929436999999,transformer
F1,45,42,10,52,32,20841,0.49455195665359497,0.7342556118965149,0.8064595980386863,0.9254003989568069,0.6785714285714286,24.126315789473683,0.009770540340488527,0.0,0.8200176954269409,351.9372929000001,transformer
F0-C,45,42,10,41,32,20489,0.5163512825965881,0.7472735643386841,0.7463097638387068,0.897159325424273,0.6464285714285715,57.68508287292818,0.010103626943005182,0.0,0.8431453704833984,357.53431139999884,transformer
F0,46,42,10,41,32,20489,0.5065217614173889,0.742441713809967,0.7476591904990094,0.89786450555029,0.6428571428571429,53.58611111111111,0.01002960769800148,0.0,0.83575040102005,344.09476220000033,transformer
F1,46,42,10,52,32,20841,0.5006859302520752,0.7368105053901672,0.8045002774573825,0.924527014100635,0.6785714285714286,24.639473684210525,0.009856896126326177,0.0,0.826436460018158,371.1077392999996,transformer
F0-C,46,42,10,41,32,20489,0.5065217614173889,0.742441713809967,0.7476591904990094,0.89786450555029,0.6428571428571429,53.58611111111111,0.01002960769800148,0.0,0.83575040102005,378.817454,transformer
