mode,fault_id,channel,mean_delta_auroc,mean_delta_auprc,positive_seeds,max_abs_pre_fpr_shift,stable_material
conditional,1,1,-2.5074750830533788e-05,-1.2649943081899373e-05,0,0.0010000000000000009,False
conditional,1,2,1.8023255814236804e-06,2.385227831447345e-06,2,0.0007500000000000007,False
conditional,1,3,1.1320598006658856e-05,3.6034773006399234e-06,4,0.0004999999999999987,False
conditional,1,4,5.611295681069439e-05,2.7726683626760894e-05,5,0.0010000000000000009,False
conditional,1,5,0.0,0.0,0,0.0,False
conditional,1,6,5.083056478394354e-06,3.0278342942891e-06,5,0.0002500000000000002,False
conditional,1,7,2.436877076410493e-05,1.120376060697037e-05,5,0.0005000000000000004,False
conditional,1,8,-2.177740863786859e-05,-9.775303192260942e-06,2,0.0007500000000000007,False
conditional,1,9,0.0,0.0,0,0.0,False
conditional,1,10,-8.255813953450542e-06,-1.8685468234247437e-06,3,0.0012499999999999994,False
conditional,1,11,-2.0564784053145323e-05,-8.900367124575758e-06,1,0.0012499999999999994,False
conditional,2,1,-0.00022478820597999772,-0.00011468498052800147,0,0.0007499999999999989,False
conditional,2,2,2.4003322259202874e-05,1.7333253306106577e-05,4,0.0010000000000000009,False
conditional,2,3,1.2500000000104094e-05,6.3172015558832225e-06,3,0.0007499999999999989,False
conditional,2,4,0.00032809800664455044,0.0001543323473545355,5,0.001749999999999999,False
conditional,2,5,0.0,0.0,0,0.0,False
conditional,2,6,-4.152823920078319e-07,-5.5635329929693e-07,2,0.0005000000000000004,False
conditional,2,7,7.504568106317944e-05,4.0912547403015864e-05,5,0.0005000000000000004,False
conditional,2,8,1.4759136212671996e-05,8.116049554107718e-06,4,0.0009999999999999992,False
conditional,2,9,0.0,0.0,0,0.0,False
conditional,2,10,1.7196843853839462e-05,7.323375907897223e-06,3,0.0005000000000000004,False
conditional,2,11,-1.9485049833845025e-05,-8.666636732712618e-06,1,0.0007499999999999989,False
conditional,3,1,7.931478405314163e-05,9.627705026842293e-05,3,0.0007500000000000007,False
conditional,3,2,-0.0002532475083056651,-0.00026118107537642654,1,0.0007500000000000007,False
conditional,3,3,2.3210132890327807e-05,-2.9042095866382843e-05,3,0.0007499999999999989,False
conditional,3,4,0.0019112583056478227,0.0019885804143363827,5,0.0004999999999999987,False
conditional,3,5,0.0,0.0,0,0.0,False
conditional,3,6,-0.00017376661129571148,-0.00015397389456530685,0,0.0004999999999999987,False
conditional,3,7,-0.00022031976744190106,-0.0003035617480735775,1,0.0005000000000000004,False
conditional,3,8,-0.00017147425249171012,-0.00034918679115825135,2,0.0005000000000000004,False
conditional,3,9,0.0,0.0,0,0.0,False
conditional,3,10,0.0005876993355481641,0.0006220664859735381,4,0.0004999999999999987,False
conditional,3,11,-0.00017358388704320494,5.471161423098447e-05,2,0.0007500000000000007,False
conditional,4,1,0.0036730481727575313,0.002857983723860724,4,0.0005000000000000004,False
conditional,4,2,-0.004229630398671036,-0.0033998552591461896,1,0.0002500000000000002,False
conditional,4,3,0.0005162416943521597,0.000478294172317173,4,0.0002500000000000002,False
conditional,4,4,-0.0027734509966776733,-0.002295062315765395,2,0.0007500000000000007,False
conditional,4,5,0.0,0.0,0,0.0,False
conditional,4,6,-0.002777574750830536,-0.002303939988949999,1,0.0002500000000000002,False
conditional,4,7,-0.001167242524916845,-0.001022409960649906,1,0.0005000000000000004,False
