variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0-C,43,42,1,0.9988880475209541,0.9996219766375624,1.0,6.4,0.0
F0-C,43,42,2,0.9977236836752431,0.999220911831242,1.0,13.55,0.0
F0-C,43,42,3,0.5224279567148558,0.720715764829433,0.0,,0.0
F0-C,43,42,4,0.4929510749168802,0.7072090729981606,1.0,4.0,0.05
F0-C,43,42,5,0.4860628880925172,0.6993730164600928,0.1,4.0,0.0
F0-C,43,42,6,0.9995797814045975,0.9998634561187972,1.0,3.0,0.0
F0-C,43,42,7,0.5230634853712929,0.7358372918581829,1.0,4.0,0.0
F0-C,43,42,8,0.9933655580334304,0.997769925124003,1.0,24.55,0.0
F0-C,43,42,9,0.5367171425788883,0.7339592207836989,0.05,122.0,0.0
F0-C,43,42,10,0.9635128929619726,0.9868066522703111,1.0,41.95,0.0
F0-C,43,42,11,0.9746307535081653,0.9906989031176662,1.0,10.8,0.0
F0-C,43,42,12,0.8268442076286492,0.9292073826196537,1.0,23.8,0.0
F0-C,43,42,13,0.9886379485908782,0.996248283704091,1.0,35.7,0.0
F0-C,43,42,14,0.998934630950752,0.9996380126290869,1.0,5.65,0.0
F0-C,43,42,15,0.518482730075606,0.7212787098736728,0.05,482.0,0.0
F0-C,43,42,16,0.5144280793758221,0.7191395301242988,0.0,,0.0
F0-C,43,42,17,0.9897394224949118,0.9965651205220386,1.0,32.65,0.0
F0-C,43,42,18,0.9585711754125785,0.9848489386609305,1.0,61.5,0.0
F0-C,43,42,19,0.7967291097279392,0.9149110175282562,1.0,112.2,0.0
F0-C,43,42,20,0.9865490878092258,0.9955149269930404,1.0,41.6,0.05
F0-C,43,42,21,0.503670462992755,0.7087894710533683,0.0,,0.0
F0-C,43,42,22,0.5615552054478727,0.7512229930730387,0.0,,0.0
F0-C,43,42,23,0.5193980397668085,0.7232348733062322,0.0,,0.0
F0-C,43,42,24,0.9368057543402875,0.976037404648355,1.0,24.95,0.0
F0-C,43,42,25,0.7135507236997013,0.8639829102820028,1.0,125.1,0.0
F0-C,43,42,26,0.5685770064313795,0.7599869935734999,0.8,696.125,0.0
F0-C,43,42,27,0.8309726398242558,0.9284773899514402,1.0,18.25,0.0
F0-C,43,42,28,0.5713917088583408,0.7690493136251256,0.35,1092.857142857143,0.05
