feature,mean,std
xmeas_1,0.26681274,0.0056517096
xmeas_2,3654.8755,18.952974
xmeas_3,4442.1973,23.8484
xmeas_4,9.235786,0.052043412
xmeas_5,32.167088,0.20357864
xmeas_6,47.35011,0.21257444
xmeas_7,2800.0022,0.9933599
xmeas_8,64.998215,0.5002862
xmeas_9,122.90002,0.010888629
xmeas_10,0.21164672,0.010187344
xmeas_11,91.733505,0.071800806
xmeas_12,49.989452,1.0075885
xmeas_13,2705.671,0.9886575
xmeas_14,25.278393,0.1269195
xmeas_15,50.00667,1.0222278
xmeas_16,3325.7224,1.1458408
xmeas_17,22.890049,0.11515781
xmeas_18,66.575516,0.052954763
xmeas_19,4.736055,1.1495125
xmeas_20,278.8483,0.3816616
xmeas_21,102.455025,0.019791177
xmeas_22,92.01741,0.15458697
xmeas_23,32.193417,0.25694215
xmeas_24,14.910947,0.10407876
xmeas_25,18.79638,0.25773597
xmeas_26,6.0271,0.100391515
xmeas_27,16.693506,0.25385967
xmeas_28,4.0524826,0.026312687
xmeas_29,32.704197,0.26454684
xmeas_30,21.805246,0.11070817
xmeas_31,13.1719885,0.2658607
xmeas_32,0.8985113,0.099887684
xmeas_33,16.16547,0.25583935
xmeas_34,5.4003863,0.02751299
xmeas_35,6.621263,0.052945834
xmeas_36,3.232871,0.050623562
xmeas_37,0.01082609,0.009952331
xmeas_38,0.58028674,0.010638868
xmeas_39,0.18769926,0.009983734
xmeas_40,53.79548,0.5015364
xmeas_41,43.946327,0.4998343
xmv_1,62.894833,0.103179134
xmv_2,53.177017,0.11036679
xmv_3,26.246086,0.5446626
xmv_4,60.56756,0.09630487
xmv_5,1.0,1.0
xmv_6,25.869352,1.228459
xmv_7,37.25743,0.031021805
xmv_8,46.43821,0.019776491
xmv_9,1.0,1.0
xmv_10,35.974503,0.092442036
xmv_11,12.415374,1.6213115
