run_index,run_id,fault_id,split,n_samples,fault_onset
0,1334009671,1,train,2000,600
1,1304813854,1,train,2000,600
2,1275562793,1,train,2000,600
3,1229495724,1,train,2000,600
4,1217066907,1,train,2000,600
5,1254902210,1,validation,2000,600
6,1259217909,1,validation,2000,600
7,1079141576,1,train,2000,600
8,1099960063,1,train,2000,600
9,4143796757,1,train,2000,600
10,4148115490,1,train,2000,600
11,4118382203,1,train,2000,600
12,4105956428,1,train,2000,600
13,4059364041,1,train,2000,600
14,4030107902,1,validation,2000,600
15,4067438247,1,train,2000,600
16,4088546448,1,train,2000,600
17,4176348077,1,train,2000,600
18,4180437402,1,train,2000,600
19,3829988859,1,train,2000,600
20,3851065292,1,train,2000,600
21,3888916885,1,train,2000,600
22,3859694498,1,train,2000,600
23,3812709671,1,train,2000,600
24,3800252176,1,train,2000,600
25,3771040073,1,train,2000,600
26,3775392638,1,train,2000,600
27,3931876419,1,train,2000,600
28,3952723572,1,train,2000,600
29,1559534238,1,validation,2000,600
30,1563881641,1,train,2000,600
31,1601195760,1,train,2000,600
32,1588733127,1,train,2000,600
33,1543320130,1,train,2000,600
34,1514100853,1,train,2000,600
35,1484383788,1,train,2000,600
36,1505463323,1,train,2000,600
37,1390922534,1,train,2000,600
38,1394974993,1,train,2000,600
39,3240337959,1,validation,2000,600
40,3236022288,1,train,2000,600
41,3265754697,1,train,2000,600
42,3278183550,1,train,2000,600
43,3324644091,1,validation,2000,600
44,3353895116,1,train,2000,600
45,3316571797,1,train,2000,600
46,3295458466,1,train,2000,600
47,3476091807,1,train,2000,600
48,3472005544,1,train,2000,600
49,2040513858,1,train,2000,600
50,2019405685,1,validation,2000,600
51,2048594220,1,validation,2000,600
52,2077850395,1,train,2000,600
53,2123787678,1,train,2000,600
54,2136213417,1,train,2000,600
55,2098379248,1,train,2000,600
56,2094060487,1,validation,2000,600
57,2005701882,1,train,2000,600
58,1984888525,1,train,2000,600
59,1797941932,1,validation,2000,600
60,1793589403,1,validation,2000,600
61,1756282562,1,train,2000,600
62,1768740085,1,validation,2000,600
63,1814282864,1,train,2000,600
64,1843505223,1,train,2000,600
65,1873221150,1,train,2000,600
66,1852144681,1,train,2000,600
67,1698249492,1,train,2000,600
68,1694191907,1,validation,2000,600
69,3549826505,1,train,2000,600
70,3528747006,1,train,2000,600
