file,label,event_index,start_row,end_row,start_time,end_time,duration_seconds
test1.csv.gz,attack,1,2111,2302,2020-07-07 15:35:11,2020-07-07 15:38:22,192
test1.csv.gz,attack,2,8891,8988,2020-07-07 17:28:11,2020-07-07 17:29:48,98
test1.csv.gz,attack,3,14351,14540,2020-07-07 18:59:11,2020-07-07 19:02:20,190
test1.csv.gz,attack,4,19266,19325,2020-07-07 20:21:06,2020-07-07 20:22:05,60
test1.csv.gz,attack,5,21801,21889,2020-07-07 21:03:21,2020-07-07 21:04:49,89
test1.csv.gz,attack_P1,1,2111,2302,2020-07-07 15:35:11,2020-07-07 15:38:22,192
test1.csv.gz,attack_P1,2,8891,8988,2020-07-07 17:28:11,2020-07-07 17:29:48,98
test1.csv.gz,attack_P1,3,14351,14540,2020-07-07 18:59:11,2020-07-07 19:02:20,190
test1.csv.gz,attack_P2,1,19266,19325,2020-07-07 20:21:06,2020-07-07 20:22:05,60
test1.csv.gz,attack_P2,2,21801,21889,2020-07-07 21:03:21,2020-07-07 21:04:49,89
test2.csv.gz,attack,1,2820,2902,2020-07-09 15:47:00,2020-07-09 15:48:22,83
test2.csv.gz,attack,2,9480,9901,2020-07-09 17:38:00,2020-07-09 17:45:01,422
test2.csv.gz,attack,3,14346,14362,2020-07-09 18:59:06,2020-07-09 18:59:22,17
test2.csv.gz,attack,4,18600,18858,2020-07-09 20:10:00,2020-07-09 20:14:18,259
test2.csv.gz,attack,5,22500,22622,2020-07-09 21:15:00,2020-07-09 21:17:02,123
test2.csv.gz,attack,6,28920,29175,2020-07-09 23:02:00,2020-07-09 23:06:15,256
test2.csv.gz,attack,7,36480,36547,2020-07-10 01:08:00,2020-07-10 01:09:07,68
test2.csv.gz,attack,8,37981,38241,2020-07-10 01:33:01,2020-07-10 01:37:21,261
test2.csv.gz,attack,9,43391,43589,2020-07-10 03:03:11,2020-07-10 03:06:29,199
test2.csv.gz,attack,10,52140,52560,2020-07-10 05:29:00,2020-07-10 05:36:00,421
test2.csv.gz,attack,11,60666,60710,2020-07-10 07:51:06,2020-07-10 07:51:50,45
test2.csv.gz,attack,12,65581,65732,2020-07-10 09:13:01,2020-07-10 09:15:32,152
test2.csv.gz,attack,13,71343,71596,2020-07-10 10:49:03,2020-07-10 10:53:16,254
test2.csv.gz,attack,14,78671,78822,2020-07-10 12:51:11,2020-07-10 12:53:42,152
test2.csv.gz,attack,15,87064,87214,2020-07-10 15:11:04,2020-07-10 15:13:34,151
test2.csv.gz,attack,16,88806,88870,2020-07-10 15:40:06,2020-07-10 15:41:10,65
test2.csv.gz,attack,17,91324,91507,2020-07-10 16:22:04,2020-07-10 16:25:07,184
test2.csv.gz,attack,18,98473,98571,2020-07-10 18:21:13,2020-07-10 18:22:51,99
test2.csv.gz,attack,19,109503,109621,2020-07-10 21:25:03,2020-07-10 21:27:01,119
