file,split,point,minimum,maximum,constant_in_file
test1.csv.gz,test,P1_B2004,0.10049,0.10178,False
test1.csv.gz,test,P1_B2016,1.04952,1.963,False
test1.csv.gz,test,P1_B3004,394.21475,406.61285,False
test1.csv.gz,test,P1_B3005,985.37353,1115.26257,False
test1.csv.gz,test,P1_B4002,31.81634,32.96325,False
test1.csv.gz,test,P1_B4005,0.0,100.0,False
test1.csv.gz,test,P1_B400B,28.00514,2860.1853,False
test1.csv.gz,test,P1_B4022,34.70366,37.49203,False
test1.csv.gz,test,P1_FCV01D,0.0,100.0,False
test1.csv.gz,test,P1_FCV01Z,0.26855,99.99237,False
test1.csv.gz,test,P1_FCV02D,0.0,100.0,False
test1.csv.gz,test,P1_FCV02Z,-1.89819,97.20763,False
test1.csv.gz,test,P1_FCV03D,43.41008,67.51157,False
test1.csv.gz,test,P1_FCV03Z,44.00024,68.71948,False
test1.csv.gz,test,P1_FT01,-15.22066,732.26923,False
test1.csv.gz,test,P1_FT01Z,0.0,1724.30456,False
test1.csv.gz,test,P1_FT02,5.37871,2010.38354,False
test1.csv.gz,test,P1_FT02Z,28.00514,2860.1853,False
test1.csv.gz,test,P1_FT03,162.70976,316.0557,False
test1.csv.gz,test,P1_FT03Z,809.97827,1119.44507,False
test1.csv.gz,test,P1_LCV01D,0.0,38.52885,False
test1.csv.gz,test,P1_LCV01Z,0.28381,38.93432,False
test1.csv.gz,test,P1_LIT01,366.00751,591.96997,False
test1.csv.gz,test,P1_PCV01D,16.00674,100.0,False
test1.csv.gz,test,P1_PCV01Z,16.15295,99.99237,False
test1.csv.gz,test,P1_PCV02D,12.0,14.59562,False
test1.csv.gz,test,P1_PCV02Z,11.99493,13.62762,False
test1.csv.gz,test,P1_PIT01,0.49606,2.3233,False
test1.csv.gz,test,P1_PIT02,0.17258,2.34619,False
test1.csv.gz,test,P1_PP01AD,540833.0,540833.0,True
test1.csv.gz,test,P1_PP01AR,540833.0,540833.0,True
test1.csv.gz,test,P1_PP01BD,0.0,0.0,True
test1.csv.gz,test,P1_PP01BR,0.0,0.0,True
test1.csv.gz,test,P1_PP02D,1.0,1.0,True
test1.csv.gz,test,P1_PP02R,1.0,1.0,True
test1.csv.gz,test,P1_STSP,1.0,1.0,True
test1.csv.gz,test,P1_TIT01,34.71985,36.94763,False
test1.csv.gz,test,P1_TIT02,34.97925,40.39611,False
test1.csv.gz,test,P2_24Vdc,28.01342,28.04031,False
test1.csv.gz,test,P2_ASD,0.0,0.0,True
test1.csv.gz,test,P2_AutoGO,1.0,1.0,True
test1.csv.gz,test,P2_CO_rpm,53045.0,54607.0,False
test1.csv.gz,test,P2_Emerg,0.0,0.0,True
test1.csv.gz,test,P2_HILout,678.97339,778.08838,False
test1.csv.gz,test,P2_MSD,763.19324,763.19324,True
test1.csv.gz,test,P2_ManualGO,0.0,0.0,True
test1.csv.gz,test,P2_OnOff,1.0,1.0,True
test1.csv.gz,test,P2_RTR,2880.0,2880.0,True
test1.csv.gz,test,P2_SIT01,581.0,876.0,False
test1.csv.gz,test,P2_SIT02,581.31744,875.87756,False
test1.csv.gz,test,P2_TripEx,1.0,1.0,True
test1.csv.gz,test,P2_VT01,11.69974,12.09933,False
test1.csv.gz,test,P2_VTR01,10.0,10.0,True
test1.csv.gz,test,P2_VTR02,10.0,10.0,True
test1.csv.gz,test,P2_VTR03,10.0,10.0,True
test1.csv.gz,test,P2_VTR04,10.0,10.0,True
test1.csv.gz,test,P2_VXT02,-4.3112,-2.1844,False
test1.csv.gz,test,P2_VXT03,-1.8007,-0.2365,False
test1.csv.gz,test,P2_VYT02,2.3598,4.7441,False
test1.csv.gz,test,P2_VYT03,4.5327,6.6147,False
test1.csv.gz,test,P3_FIT01,-30.0,5345.0,False
test1.csv.gz,test,P3_LCP01D,-8.0,13816.0,False
test1.csv.gz,test,P3_LCV01D,-288.0,17696.0,False
test1.csv.gz,test,P3_LH,70.0,70.0,True
test1.csv.gz,test,P3_LIT01,5134.0,19531.0,False
test1.csv.gz,test,P3_LL,20.0,20.0,True
test1.csv.gz,test,P3_PIT01,-27.0,3799.0,False
test1.csv.gz,test,P4_HT_FD,-0.01845,0.02677,False
test1.csv.gz,test,P4_HT_LD,-0.00723,82.7691,False
test1.csv.gz,test,P4_HT_PO,0.05423,82.62799,False
test1.csv.gz,test,P4_HT_PS,0.0,10.0,False
test1.csv.gz,test,P4_LD,239.85455,499.20429,False
test1.csv.gz,test,P4_ST_FD,-0.01418,0.0102,False
test1.csv.gz,test,P4_ST_GOV,13075.0,25709.0,False
test1.csv.gz,test,P4_ST_LD,239.85455,488.80572,False
test1.csv.gz,test,P4_ST_PO,243.00128,476.74335,False
test1.csv.gz,test,P4_ST_PS,0.0,50.0,False
test1.csv.gz,test,P4_ST_PT01,9807.0,10329.0,False
test1.csv.gz,test,P4_ST_TT01,27539.0,27627.0,False
test2.csv.gz,test,P1_B2004,0.09804,0.10136,False
test2.csv.gz,test,P1_B2016,1.03394,1.99702,False
test2.csv.gz,test,P1_B3004,382.21698,423.35199,False
test2.csv.gz,test,P1_B3005,994.63568,1118.61084,False
test2.csv.gz,test,P1_B4002,31.60939,33.6555,False
test2.csv.gz,test,P1_B4005,0.0,100.0,False
test2.csv.gz,test,P1_B400B,27.01222,2860.9773,False
test2.csv.gz,test,P1_B4022,34.47496,38.35438,False
test2.csv.gz,test,P1_FCV01D,0.0,100.0,False
test2.csv.gz,test,P1_FCV01Z,0.26855,100.0,False
test2.csv.gz,test,P1_FCV02D,0.0,100.0,False
test2.csv.gz,test,P1_FCV02Z,-1.89057,97.21527,False
test2.csv.gz,test,P1_FCV03D,32.63621,91.43527,False
