split,point,minimum,maximum,constant
test,P1_B2004,0.03011,0.10193,False
test,P1_B2016,0.95914,2.00963,False
test,P1_B3004,374.63861,448.76343,False
test,P1_B3005,902.98114,1121.94116,False
test,P1_B4002,31.37905,33.6555,False
test,P1_B4005,0.0,100.0,False
test,P1_B400B,25.02598,2860.9773,False
test,P1_B4022,34.22544,38.45597,False
test,P1_FCV01D,0.0,100.0,False
test,P1_FCV01Z,0.26093,100.0,False
test,P1_FCV02D,0.0,100.0,False
test,P1_FCV02Z,-1.89819,97.39837,False
test,P1_FCV03D,0.0,93.40085,False
test,P1_FCV03Z,0.25329,93.11066,False
test,P1_FT01,-15.79287,976.60065,False
test,P1_FT01Z,0.0,1991.72876,False
test,P1_FT02,4.80653,2011.52795,False
test,P1_FT02Z,25.02598,2860.9773,False
test,P1_FT03,53.06242,351.21292,False
test,P1_FT03Z,276.27835,1178.22803,False
test,P1_LCV01D,0.0,97.0,False
test,P1_LCV01Z,0.26855,98.22997,False
test,P1_LIT01,162.61324,643.77698,False
test,P1_PCV01D,0.0,100.0,False
test,P1_PCV01Z,0.35248,100.0,False
test,P1_PCV02D,12.0,25.0,False
test,P1_PCV02Z,11.75842,25.24719,False
test,P1_PIT01,0.065,2.41943,False
test,P1_PIT02,0.17029,2.34619,False
test,P1_PP01AD,540833.0,540833.0,True
test,P1_PP01AR,540833.0,540833.0,True
test,P1_PP01BD,0.0,0.0,True
test,P1_PP01BR,0.0,0.0,True
test,P1_PP02D,1.0,1.0,True
test,P1_PP02R,1.0,1.0,True
test,P1_STSP,1.0,1.0,True
test,P1_TIT01,34.46044,36.96288,False
test,P1_TIT02,34.97925,40.4419,False
test,P2_24Vdc,28.01342,28.04294,False
test,P2_ASD,0.0,0.0,True
test,P2_AutoGO,1.0,1.0,True
test,P2_CO_rpm,51648.0,54822.0,False
test,P2_Emerg,0.0,1.0,False
test,P2_HILout,662.40845,778.08838,False
test,P2_MSD,763.19324,763.19324,True
test,P2_ManualGO,0.0,0.0,True
test,P2_OnOff,0.0,1.0,False
test,P2_RTR,2880.0,2880.0,True
test,P2_SIT01,0.0,906.0,False
test,P2_SIT02,0.0,905.71509,False
test,P2_TripEx,1.0,1.0,True
test,P2_VT01,-0.04018,13.10113,False
test,P2_VTR01,10.0,10.0,True
test,P2_VTR02,10.0,10.0,True
test,P2_VTR03,10.0,10.0,True
test,P2_VTR04,10.0,10.0,True
test,P2_VXT02,-125.1488,0.0,False
test,P2_VXT03,-125.01299,0.6118,False
test,P2_VYT02,-126.1897,4.8643,False
test,P2_VYT03,-124.5646,6.8704,False
test,P3_FIT01,-30.0,7761.0,False
test,P3_LCP01D,-8.0,20592.0,False
test,P3_LCV01D,-288.0,29408.0,False
test,P3_LH,70.0,70.0,True
test,P3_LIT01,5024.0,20489.0,False
test,P3_LL,20.0,20.0,True
test,P3_PIT01,-27.0,7090.0,False
test,P4_HT_FD,-0.0455,0.03545,False
test,P4_HT_LD,-0.00723,82.94995,False
test,P4_HT_PO,0.01807,89.55438,False
test,P4_HT_PS,0.0,10.0,False
test,P4_LD,231.33685,499.74683,False
test,P4_ST_FD,-0.04789,0.05049,False
test,P4_ST_GOV,12660.0,26450.0,False
test,P4_ST_LD,231.11981,496.45544,False
test,P4_ST_PO,235.6228,491.50031,False
test,P4_ST_PS,0.0,50.0,False
test,P4_ST_PT01,9695.0,10330.0,False
test,P4_ST_TT01,27519.0,27627.0,False
train,P1_B2004,0.02978,0.10196,False
train,P1_B2016,0.94729,2.0523,False
train,P1_B3004,369.75601,447.83438,False
train,P1_B3005,890.07843,1121.94116,False
train,P1_B4002,31.41343,33.6555,False
train,P1_B4005,0.0,100.0,False
train,P1_B400B,25.02598,2857.54565,False
train,P1_B4022,34.20232,38.65093,False
train,P1_FCV01D,0.0,100.0,False
train,P1_FCV01Z,0.26093,100.0,False
train,P1_FCV02D,0.0,100.0,False
train,P1_FCV02Z,-1.89819,97.38312,False
train,P1_FCV03D,45.71051,74.18626,False
train,P1_FCV03Z,46.17462,75.37231,False
train,P1_FT01,-15.60213,473.06061,False
train,P1_FT01Z,0.0,1381.9574,False
train,P1_FT02,4.80653,2006.56897,False
train,P1_FT02Z,25.02598,2857.54565,False
train,P1_FT03,187.14902,332.87042,False
train,P1_FT03Z,865.69977,1147.55933,False
train,P1_LCV01D,2.12251,28.33634,False
train,P1_LCV01Z,0.28381,28.53546,False
train,P1_LIT01,355.98859,459.44928,False
train,P1_PCV01D,24.89728,100.0,False
train,P1_PCV01Z,25.53711,100.0,False
train,P1_PCV02D,12.0,12.0,True
train,P1_PCV02Z,11.76605,12.04071,False
train,P1_PIT01,0.86914,2.39578,False
train,P1_PIT02,0.17029,2.34695,False
train,P1_PP01AD,540833.0,540833.0,True
train,P1_PP01AR,540833.0,540833.0,True
train,P1_PP01BD,0.0,0.0,True
train,P1_PP01BR,0.0,0.0,True
train,P1_PP02D,1.0,1.0,True
train,P1_PP02R,1.0,1.0,True
train,P1_STSP,1.0,1.0,True
train,P1_TIT01,34.68933,36.94763,False
train,P1_TIT02,34.97925,40.4419,False
train,P2_24Vdc,28.01254,28.04642,False
train,P2_ASD,0.0,0.0,True
train,P2_AutoGO,1.0,1.0,True
train,P2_CO_rpm,53951.0,54215.0,False
train,P2_Emerg,0.0,0.0,True
train,P2_HILout,653.75977,775.1648,False
train,P2_MSD,763.19324,763.19324,True
train,P2_ManualGO,0.0,0.0,True
train,P2_OnOff,1.0,1.0,True
train,P2_RTR,2880.0,2880.0,True
train,P2_SIT01,749.0,828.0,False
train,P2_SIT02,748.93372,828.22137,False
train,P2_TripEx,1.0,1.0,True
train,P2_VT01,11.76047,12.06294,False
train,P2_VTR01,10.0,10.0,True
train,P2_VTR02,10.0,10.0,True
train,P2_VTR03,10.0,10.0,True
train,P2_VTR04,10.0,10.0,True
train,P2_VXT02,-4.4009,-1.7734,False
train,P2_VXT03,-2.1603,0.2445,False
train,P2_VYT02,2.4162,5.156,False
train,P2_VYT03,4.5149,7.3006,False
train,P3_FIT01,-27.0,5443.0,False
train,P3_LCP01D,-8.0,13816.0,False
train,P3_LCV01D,-288.0,18416.0,False
train,P3_LH,70.0,70.0,True
train,P3_LIT01,5047.0,19730.0,False
train,P3_LL,20.0,20.0,True
train,P3_PIT01,-24.0,3871.0,False
train,P4_HT_FD,-0.04962,0.03552,False
train,P4_HT_LD,-0.00723,83.10184,False
train,P4_HT_PO,0.05423,86.71515,False
train,P4_HT_PS,0.0,10.0,False
train,P4_LD,231.13788,499.76489,False
train,P4_ST_FD,-0.05244,0.05035,False
train,P4_ST_GOV,12625.0,26927.0,False
train,P4_ST_LD,229.87201,499.62018,False
train,P4_ST_PO,233.56122,498.86066,False
train,P4_ST_PS,0.0,50.0,False
train,P4_ST_PT01,9914.0,10330.0,False
train,P4_ST_TT01,27530.0,27629.0,False
