global_event,id,target_points,target_class,source_pages,source_note,file,event_index,start_time,end_time,duration_seconds,target_roles
1,A101,P1_B2016,control_only,36-38,,test1.csv.gz,1,2020-07-07 15:35:11,2020-07-07 15:38:22,192,SP
2,A102,P1_B3005,control_only,36-38,,test1.csv.gz,2,2020-07-07 17:28:11,2020-07-07 17:29:48,98,SP
3,A103,P1_LCV01D,control_only,36-38,,test1.csv.gz,3,2020-07-07 18:59:11,2020-07-07 19:02:20,190,CO
4,A104,P2_CO_rpm,control_only,36-38,P2_SCO in manual mapped to 21.03 alias P2_CO_rpm,test1.csv.gz,4,2020-07-07 20:21:06,2020-07-07 20:22:05,60,CO
5,A105,P2_ASD,control_only,36-38,P2_AutoSD in manual mapped to 21.03 alias P2_ASD,test1.csv.gz,5,2020-07-07 21:03:21,2020-07-07 21:04:49,89,SP
6,A201,P2_VTR02,control_only,36-38,,test2.csv.gz,1,2020-07-09 15:47:00,2020-07-09 15:48:22,83,SP
7,A202,P1_B2016;P1_PIT01,mixed_control_sensor,36-38,,test2.csv.gz,2,2020-07-09 17:38:00,2020-07-09 17:45:01,422,SP;PV
8,A203,P1_LCV01D,control_only,36-38,,test2.csv.gz,3,2020-07-09 18:59:06,2020-07-09 18:59:22,17,CO
9,A204,P1_B3005;P1_FT03,mixed_control_sensor,36-38,,test2.csv.gz,4,2020-07-09 20:10:00,2020-07-09 20:14:18,259,SP;PV
10,A205,P1_B2016,control_only,36-38,,test2.csv.gz,5,2020-07-09 21:15:00,2020-07-09 21:17:02,123,SP
11,A206,P1_FCV03D;P1_FT03,mixed_control_sensor,36-38,,test2.csv.gz,6,2020-07-09 23:02:00,2020-07-09 23:06:15,256,CO;PV
12,A207,P2_VTR01,control_only,36-38,,test2.csv.gz,7,2020-07-10 01:08:00,2020-07-10 01:09:07,68,SP
13,A208,P1_B3004;P1_LIT01,mixed_control_sensor,36-38,,test2.csv.gz,8,2020-07-10 01:33:01,2020-07-10 01:37:21,261,SP;PV
14,A209,P1_B3004,control_only,36-38,,test2.csv.gz,9,2020-07-10 03:03:11,2020-07-10 03:06:29,199,SP
15,A210,P1_PCV01D;P1_PIT01,mixed_control_sensor,36-38,,test2.csv.gz,10,2020-07-10 05:29:00,2020-07-10 05:36:00,421,CO;PV
16,A211,P2_ASD,control_only,36-38,P2_AutoSD in manual mapped to 21.03 alias P2_ASD,test2.csv.gz,11,2020-07-10 07:51:06,2020-07-10 07:51:50,45,SP
17,A212,P2_ASD;P2_SIT01,mixed_control_sensor,36-38,P2_AutoSD in manual mapped to 21.03 alias P2_ASD,test2.csv.gz,12,2020-07-10 09:13:01,2020-07-10 09:15:32,152,SP;PV
18,A213,P1_LCV01D;P1_LIT01,mixed_control_sensor,36-38,,test2.csv.gz,13,2020-07-10 10:49:03,2020-07-10 10:53:16,254,CO;PV
19,A214,P1_PCV01D,control_only,36-38,,test2.csv.gz,14,2020-07-10 12:51:11,2020-07-10 12:53:42,152,CO
