seed,mode,channel,feature,reliable_imputer,file,event_index,global_event,attack_id,target_points,target_class,targeted_channel,duration_seconds,detected,alarm_delay_censored,mean_event_score,max_event_score,normalized_mean_event_score,normalized_max_event_score
42,original,0,original,True,test1.csv.gz,1,1,A101,P1_B2016,control_only,False,192,True,57,0.8061113357543945,1.867325782775879,1.3489529342308464,3.1247973848216684
42,original,0,original,True,test1.csv.gz,2,2,A102,P1_B3005,control_only,False,98,True,19,0.5159276723861694,1.5638952255249023,0.863357351084639,2.617034347156465
42,original,0,original,True,test1.csv.gz,3,3,A103,P1_LCV01D,control_only,False,190,True,20,1.4594395160675049,2.4659135341644287,2.442237356319145,4.126478750429269
42,original,0,original,True,test1.csv.gz,4,4,A104,P2_CO_rpm,control_only,False,60,True,3,1.7984880208969116,1.9690701961517334,3.0096037425121778,3.295057271858875
42,original,0,original,True,test1.csv.gz,5,5,A105,P2_ASD,control_only,False,89,True,7,2.523296356201172,3.370199680328369,4.2225036079490685,5.639718170528195
42,original,0,original,True,test2.csv.gz,1,6,A201,P2_VTR02,control_only,False,83,True,49,8.42824935913086,37.60517120361328,14.1038975624737,62.92878388801508
42,original,0,original,True,test2.csv.gz,2,7,A202,P1_B2016;P1_PIT01,mixed_control_sensor,False,422,True,72,1.2301228046417236,2.4314723014831543,2.058497000582199,4.068844525697205
42,original,0,original,True,test2.csv.gz,3,8,A203,P1_LCV01D,control_only,False,17,False,17,0.369976669549942,0.5175544023513794,0.6191218158708665,0.8660795335704088
42,original,0,original,True,test2.csv.gz,4,9,A204,P1_B3005;P1_FT03,mixed_control_sensor,False,259,True,34,0.5178057551383972,1.4779952764511108,0.8665001492652092,2.4732887090369737
42,original,0,original,True,test2.csv.gz,5,10,A205,P1_B2016,control_only,False,123,False,123,0.22501491010189056,0.6795749068260193,0.37654168818203554,1.1372058969183343
42,original,0,original,True,test2.csv.gz,6,11,A206,P1_FCV03D;P1_FT03,mixed_control_sensor,False,256,False,256,0.2691780626773834,0.6178713440895081,0.4504446487400131,1.0339506785457768
42,original,0,original,True,test2.csv.gz,7,12,A207,P2_VTR01,control_only,False,68,True,32,10.110025405883789,18.600364685058594,16.918194586176295,31.125993900324353
42,original,0,original,True,test2.csv.gz,8,13,A208,P1_B3004;P1_LIT01,mixed_control_sensor,False,261,True,37,1.003129482269287,2.894045114517212,1.6786446220288718,4.842917443123373
42,original,0,original,True,test2.csv.gz,9,14,A209,P1_B3004,control_only,False,199,True,21,0.7620978355407715,1.459328532218933,1.2753004030908721,2.4420516350899018
42,original,0,original,True,test2.csv.gz,10,15,A210,P1_PCV01D;P1_PIT01,mixed_control_sensor,False,421,True,156,0.28769320249557495,0.7794824838638306,0.48142802668999585,1.3043920078429816
42,original,0,original,True,test2.csv.gz,11,16,A211,P2_ASD,control_only,False,45,True,5,0.833168625831604,1.7976890802383423,1.394230812388743,3.008266789044522
42,original,0,original,True,test2.csv.gz,12,17,A212,P2_ASD;P2_SIT01,mixed_control_sensor,False,152,True,42,0.48139050602912903,1.180128574371338,0.8055625901987267,1.974836269580648
42,original,0,original,True,test2.csv.gz,13,18,A213,P1_LCV01D;P1_LIT01,mixed_control_sensor,False,254,True,25,1.0540916919708252,2.3486523628234863,1.7639251772854758,3.9302530007892655
42,original,0,original,True,test2.csv.gz,14,19,A214,P1_PCV01D,control_only,False,152,False,152,0.22251330316066742,0.5504114031791687,0.3723554798086014,0.9210626924850428
42,original,0,original,True,test2.csv.gz,15,20,A215,P2_CO_rpm;P2_SIT01,mixed_control_sensor,False,151,True,9,0.3970682919025421,1.5721869468688965,0.6644571459235238,2.630909777684108
42,original,0,original,True,test2.csv.gz,16,21,A216,P1_FCV03D,control_only,False,65,False,65,0.3072999119758606,0.7785101532936096,0.514238045741882,1.3027649023582109
42,original,0,original,True,test2.csv.gz,17,22,A217,P2_RTR,control_only,False,184,True,151,3.5988945960998535,18.73979949951172,6.02241800861559,31.359325195578318
42,original,0,original,True,test2.csv.gz,18,23,A218,P1_FCV03D,control_only,False,99,True,13,1.2584881782531738,2.6293423175811768,2.10596383582762,4.3999617386339755
42,original,0,original,True,test2.csv.gz,19,24,A219,P3_LCP01D,control_only,False,119,False,119,0.28517210483551025,0.7019896507263184,0.47720920239714043,1.1747149024529664
42,original,0,original,True,test2.csv.gz,20,25,A220,P3_LCV01D,control_only,False,119,False,119,0.2993351221084595,0.5769726037979126,0.500909704871811,0.965510410712225
42,original,0,original,True,test3.csv.gz,1,26,A301,P1_LCV01D;P1_B3005,control_only,False,132,True,18,0.5107536315917969,1.5986216068267822,0.8546990712641881,2.675145741792234
42,original,0,original,True,test3.csv.gz,2,27,A302,P1_B2016;P1_PIT01;P1_B3005,mixed_control_sensor,False,421,True,16,1.1929954290390015,2.3829586505889893,1.9963677635423642,3.9876614076572006
42,original,0,original,True,test3.csv.gz,3,28,A303,P1_PCV01D;P1_LCV01D,control_only,False,189,True,4,1.3663115501403809,1.7923412322998047,2.2863962989808573,2.9993176590068464
42,original,0,original,True,test3.csv.gz,4,29,A304,P2_ASD;P2_VTR01,control_only,False,106,True,11,14.15170955657959,49.13037109375,23.68158005477679,82.21514238444713
42,original,0,original,True,test3.csv.gz,5,30,A305,P2_CO_rpm;P2_VTR02,control_only,False,84,True,0,11.298284530639648,18.96091079711914,18.906636581556405,31.729334548467506
42,original,0,original,True,test3.csv.gz,6,31,A306,P1_B2016;P2_ASD,control_only,False,238,True,3,1.237173080444336,3.5822227001190186,2.070294986554162,5.9945191291369975
42,original,0,original,True,test3.csv.gz,7,32,A307,P1_FCV03D;P2_VTR01,control_only,False,110,True,23,12.90091323852539,19.47823715209961,21.58848783720447,32.5950324658064
42,original,0,original,True,test3.csv.gz,8,33,A308,P1_LCV01D;P1_LIT01;P2_ASD,mixed_control_sensor,False,255,True,0,1.3391605615615845,3.7458159923553467,2.240961625026843,6.268277407670766
42,original,0,original,True,test4.csv.gz,1,34,A401,P1_PCV01D;P1_B3004;P1_LIT01,mixed_control_sensor,False,254,True,27,0.9943186044692993,2.127474784851074,1.6639004310787222,3.5601327338254714
42,original,0,original,True,test4.csv.gz,2,35,A402,P1_B3005;P1_FT03;P3_LCV01D,mixed_control_sensor,False,262,True,35,0.8883525729179382,2.045464515686035,1.4865760555863041,3.4228961161023
42,original,0,original,True,test4.csv.gz,3,36,A403,P1_B3004;P1_LIT01;P3_LCV01D,mixed_control_sensor,False,263,True,26,1.219836711883545,2.9380223751068115,2.041284173529059,4.9165093305966545
42,original,0,original,True,test4.csv.gz,4,37,A404,P2_CO_rpm;P2_SIT01;P1_LCV01D;P1_LIT01,mixed_control_sensor,False,258,True,7,1.258880853652954,2.9660401344299316,2.106620941873943,4.963394465407625
42,original,0,original,True,test4.csv.gz,5,38,A405,P2_ASD;P3_LCV01D,control_only,False,120,True,9,0.7959676384925842,2.115727186203003,1.3319783929009406,3.5404742115300967
42,original,0,original,True,test5.csv.gz,1,39,A501,P1_PCV01D;P2_VTR02,control_only,False,172,True,47,8.532588958740234,18.931901931762695,14.27850025419471,31.68079088916682
42,original,0,original,True,test5.csv.gz,2,40,A502,P1_FCV03D;P1_FT03;P2_CO_rpm,mixed_control_sensor,False,258,True,5,0.6423052549362183,1.910921335220337,1.0748385736410109,3.1977505189372315
42,original,0,original,True,test5.csv.gz,3,41,A503,P1_B3004;P1_LIT01;P2_CO_rpm,mixed_control_sensor,False,256,True,0,1.370489239692688,3.401578664779663,2.2933872769387795,5.692228005424815
42,original,0,original,True,test5.csv.gz,4,42,A504,P1_FCV03D;P3_LCV01D,control_only,False,120,True,28,0.8525745868682861,2.3313474655151367,1.4267048974448768,3.9012948520010267
42,original,0,original,True,test5.csv.gz,5,43,A505,P1_B3004;P2_ASD,control_only,False,203,True,1,1.0553958415985107,2.6050384044647217,1.766107551343392,4.3592913827444235
42,original,0,original,True,test5.csv.gz,6,44,A506,P2_CO_rpm;P2_SIT01;P3_LCV01D,mixed_control_sensor,False,153,True,6,0.48642754554748535,1.7377060651779175,0.8139916110259362,2.9078907484395975
42,original,0,original,True,test5.csv.gz,7,45,A507,P2_ASD;P2_VTR01,control_only,False,79,True,5,13.056768417358398,61.185791015625,21.849297097013608,102.38877517647258
42,original,0,original,True,test5.csv.gz,8,46,A508,P1_FCV03D;P1_LCV01D,control_only,False,51,True,13,0.7085415720939636,1.4649274349212646,1.1856789382650466,2.451420882108014
42,original,0,original,True,test5.csv.gz,9,47,A509,P1_B2016;P1_PCV01D,control_only,False,241,False,241,0.28217723965644836,0.7855612635612488,0.47219757187945194,1.3145642847303936
42,original,0,original,True,test5.csv.gz,10,48,A510,P1_B3004;P1_LCV01D;P1_LIT01,mixed_control_sensor,False,262,True,15,1.4977408647537231,3.4029171466827393,2.5063311289825956,5.694467831377492
42,original,0,original,True,test5.csv.gz,11,49,A511,P2_RTR;P3_LCV01D,control_only,False,120,True,37,8.850258827209473,19.119386672973633,14.81009146521183,31.994529302910028
42,original,0,original,True,test5.csv.gz,12,50,A512,P1_B3005;P1_FCV03D;P1_FT03,mixed_control_sensor,False,262,True,17,1.230036735534668,2.4064993858337402,2.0583529718738065,4.0270546558028055
42,loo_sample,1,P1_B2004,True,test1.csv.gz,1,1,A101,P1_B2016,control_only,False,192,True,57,0.8061189651489258,1.8673018217086792,1.3490039145199315,3.1248458056185755
