seed,mode,channel,feature,reliable_imputer,file,event_index,global_event,attack_id,target_points,target_class,targeted_channel,duration_seconds,detected,alarm_delay_censored,mean_event_score,max_event_score,normalized_mean_event_score,normalized_max_event_score,original_normalized_mean_event_score,original_normalized_max_event_score,original_detected,original_alarm_delay_censored,delta_normalized_mean_event_score,delta_normalized_max_event_score,delta_detected,delta_alarm_delay,delta_fpr
42,loo_sample,1,P1_B2004,True,test1.csv.gz,1,1,A101,P1_B2016,control_only,False,192,True,57,0.8061189651489258,1.8673018217086792,1.3490039145199315,3.1248458056185755,1.3489529342308464,3.1247973848216684,True,57,-5.0980289085122976e-05,-4.842079690714485e-05,0,0,0.0
42,loo_sample,1,P1_B2004,True,test1.csv.gz,2,2,A102,P1_B3005,control_only,False,98,True,19,0.5159099102020264,1.5637117624282837,0.8633520838621933,2.6168014646658344,0.863357351084639,2.617034347156465,True,19,5.267222445648478e-06,0.00023288249063080357,0,0,0.0
42,loo_sample,1,P1_B2004,True,test1.csv.gz,3,3,A103,P1_LCV01D,control_only,False,190,True,20,1.4594449996948242,2.4658994674682617,2.442315716081849,4.126572104419782,2.442237356319145,4.126478750429269,True,20,-7.835976270431644e-05,-9.335399051302318e-05,0,0,0.0
42,loo_sample,1,P1_B2004,True,test1.csv.gz,4,4,A104,P2_CO_rpm,control_only,False,60,True,3,1.7984625101089478,1.9689438343048096,3.009646306740964,3.294939152630369,3.0096037425121778,3.295057271858875,True,3,-4.256422878601285e-05,0.00011811922850579748,0,0,0.0
42,loo_sample,1,P1_B2004,True,test1.csv.gz,5,5,A105,P2_ASD,control_only,False,89,True,7,2.523317813873291,3.3701775074005127,4.222659130546671,5.639840825814586,4.2225036079490685,5.639718170528195,True,7,-0.00015552259760287512,-0.00012265528639066048,0,0,0.0
42,loo_sample,1,P1_B2004,True,test2.csv.gz,1,6,A201,P2_VTR02,control_only,False,83,True,49,8.428214073181152,37.60517501831055,14.104238045104008,62.93057290438029,14.1038975624737,62.92878388801508,True,49,-0.0003404826303086139,-0.0017890163652083402,0,0,0.0
42,loo_sample,1,P1_B2004,True,test2.csv.gz,2,7,A202,P1_B2016;P1_PIT01,mixed_control_sensor,False,422,True,72,1.2301722764968872,2.431421995162964,2.0586381021585467,4.068875601653584,2.058497000582199,4.068844525697205,True,72,-0.0001411015763475021,-3.107595637885652e-05,0,0,0.0
42,loo_sample,1,P1_B2004,True,test2.csv.gz,3,8,A203,P1_LCV01D,control_only,False,17,False,17,0.3699399828910827,0.5175130367279053,0.6190779607390957,0.8660348441648018,0.6191218158708665,0.8660795335704088,False,17,4.385513177074252e-05,4.4689405606979093e-05,0,0,0.0
42,loo_sample,1,P1_B2004,True,test2.csv.gz,4,9,A204,P1_B3005;P1_FT03,mixed_control_sensor,False,259,True,34,0.5178084373474121,1.4780398607254028,0.8665291838457851,2.473433381593627,0.8665001492652092,2.4732887090369737,True,34,-2.9034580575904023e-05,-0.00014467255665318035,0,0,0.0
42,loo_sample,1,P1_B2004,True,test2.csv.gz,5,10,A205,P1_B2016,control_only,False,123,False,123,0.2250075489282608,0.6796029210090637,0.3765400361777647,1.1372849919131176,0.3765416881820355,1.1372058969183343,False,123,1.6520042707690585e-06,-7.909499478331306e-05,0,0,0.0
