mode,channel,feature,global_event,attack_id,target_class,reliable_imputer,seeds,mean_delta_normalized_score,min_delta_normalized_score,max_delta_normalized_score,positive_seeds,mean_detection_drop,mean_alarm_delay_increase,max_abs_fpr_shift,stable_targeted_cell
loo_sample,2,P1_B2016,1,A101,control_only,True,3,-0.00020728648325807342,-0.0005022584968341626,0.00020431547148636042,1,0.0,0.0,2.545125067499824e-06,False
loo_sample,2,P1_B2016,7,A202,mixed_control_sensor,True,3,5.448759173187767e-05,-0.00089105343292184,0.0005915601112485014,2,0.0,0.0,2.545125067499824e-06,False
loo_sample,2,P1_B2016,10,A205,control_only,True,3,0.00017330570554796587,-2.8560593028692516e-05,0.00046069909176738033,2,0.0,0.0,2.545125067499824e-06,False
loo_sample,2,P1_B2016,27,A302,mixed_control_sensor,True,3,-0.0002520672836464251,-0.0006873214951488293,0.00019138047443645334,1,0.0,0.0,2.545125067499824e-06,False
loo_sample,2,P1_B2016,31,A306,control_only,True,3,-0.00010275771074204816,-0.0006278499282177386,0.0005736561901761306,1,0.0,0.0,2.545125067499824e-06,False
loo_sample,2,P1_B2016,47,A509,control_only,True,3,2.3659698489904752e-05,-0.00012843994611000387,0.0003000248469239297,1,0.0,0.0,2.545125067499824e-06,False
loo_sample,3,P1_B3004,13,A208,mixed_control_sensor,False,3,0.004069759172825815,0.0005524508660035288,0.008597814398635384,3,0.0,0.0,1.781587547209978e-05,False
loo_sample,3,P1_B3004,14,A209,control_only,False,3,0.01974144527663239,0.015243625820454465,0.022540173680540843,3,0.0,0.0,1.781587547209978e-05,False
loo_sample,3,P1_B3004,34,A401,mixed_control_sensor,False,3,0.0014519437812449503,0.00012033484064244426,0.0037615145074723078,3,0.0,-0.3333333333333333,1.781587547209978e-05,False
loo_sample,3,P1_B3004,36,A403,mixed_control_sensor,False,3,-0.002896544635597594,-0.012593996786371076,0.002848495507255855,2,0.0,0.0,1.781587547209978e-05,False
loo_sample,3,P1_B3004,41,A503,mixed_control_sensor,False,3,-0.002776029764576027,-0.009733833873586839,0.0007898095904983471,2,0.0,0.0,1.781587547209978e-05,False
loo_sample,3,P1_B3004,43,A505,control_only,False,3,0.017938503778677967,0.014809872092872656,0.0219147660395147,3,0.0,0.0,1.781587547209978e-05,False
loo_sample,3,P1_B3004,48,A510,mixed_control_sensor,False,3,-0.004013795870762227,-0.009876974262120974,0.0037754734712724947,1,0.0,0.3333333333333333,1.781587547209978e-05,False
