architecture,fault_id,channel,mean_normalized_xmv_ig,sd_normalized_xmv_ig,mean_abs_ig,mean_abs_convergence_delta,mean_delta_auroc,mean_delta_auprc,stable_material,ig_rank,chum_rank
tcn,1,1,0.011377656832337341,0.0007580445223921657,0.0036394966300576396,0.0093727882020175,4.654485049839785e-05,2.187334648040551e-05,False,6.0,3.0
tcn,1,2,0.01619090083986516,0.0032790326855087477,0.0051507210358976594,0.0093727882020175,4.709717607975783e-05,1.896849518148169e-05,False,5.0,2.0
tcn,1,3,0.7105608582496643,0.016104161010238528,0.2273665904998779,0.0093727882020175,1.857973421928172e-05,5.295727176868326e-06,False,1.0,5.0
tcn,1,4,0.08292197734117503,0.018277801750785184,0.026492857560515358,0.0093727882020175,9.453488372095363e-05,4.9262965786911474e-05,False,3.0,1.0
tcn,1,5,0.0,0.0,0.0,0.0093727882020175,-4.152823884773227e-09,0.0,False,10.0,9.0
tcn,1,6,0.14637456387281414,0.020621779364528522,0.04663229063153262,0.0093727882020175,2.2151162790806644e-05,1.0429031543379707e-05,False,2.0,4.0
tcn,1,7,0.0266579240560531,0.008735766885944478,0.00846654297783966,0.0093727882020175,4.908637873812794e-06,2.9780189997108407e-06,False,4.0,7.0
tcn,1,8,0.00444980585016304,0.0012026549847048548,0.00140290479175742,0.0093727882020175,1.1565614617992104e-05,7.021571672183314e-06,False,7.0,6.0
tcn,1,9,0.0,0.0,0.0,0.0093727882020175,-4.152823884773227e-09,0.0,False,10.0,9.0
tcn,1,10,0.0011236772988922402,0.00016055559903563335,0.00036189163802186,0.0093727882020175,-6.901993355401537e-06,-3.0196703474150154e-06,False,8.0,11.0
tcn,1,11,0.00034262822591694,3.9075812695450956e-05,0.00010944350651696918,0.0093727882020175,5.813953491973224e-08,-3.090448936760027e-07,False,9.0,8.0
tcn,4,1,0.08708294779062264,0.0060501537785554674,0.0015372518915682401,0.00097085201414298,-0.0162468895348837,-0.0138730331905717,False,5.0,11.0
tcn,4,2,0.09313631206750864,0.003101853748751098,0.00164884508121752,0.00097085201414298,-0.0161311420265781,-0.0136944089242506,False,4.0,10.0
tcn,4,3,0.21082705259323115,0.015146361978611038,0.00372470105066892,0.00097085201414298,0.002297392026578,0.0016539451895325,False,3.0,3.0
tcn,4,4,0.06969048678874964,0.005845373755670955,0.0012289310107007,0.00097085201414298,0.0096662209302325,0.0103175710998099,False,6.0,2.0
tcn,4,5,0.0,0.0,0.0,0.00097085201414298,0.0,0.0,False,10.0,6.0
tcn,4,6,0.26081749200820925,0.021478419816359732,0.0046167292632162005,0.00097085201414298,0.002055257475083,0.0016065392349996,False,1.0,4.0
tcn,4,7,0.015354346297681282,0.0009402414688923677,0.00027145965723318003,0.00097085201414298,-0.0017109634551495,-0.0014924937278274,False,7.0,9.0
tcn,4,8,0.00708437385037536,0.0007467337686128861,0.0001253540453035,0.00097085201414298,-0.0012206146179402,-0.0009251358528699,False,9.0,8.0
tcn,4,9,0.0,0.0,0.0,0.00097085201414298,0.0,0.0,False,10.0,6.0
tcn,4,10,0.24809108376502986,0.042798639225441,0.00444075106643134,0.00097085201414298,0.165284842192691,0.1211450911991488,True,2.0,1.0
tcn,4,11,0.00791592821478838,0.0010842436728809336,0.00013916746393073998,0.00097085201414298,3.1723421926876935e-05,3.95608246475998e-05,False,8.0,5.0
tcn,11,1,0.05632620677351946,0.0037312444953015935,0.00132950760889794,0.00135202435776586,-0.001606507475083,-0.0008576139310204,False,6.0,9.0
tcn,11,2,0.06381371468305583,0.0018502077119599634,0.00150791779160496,0.00135202435776586,-0.0018164410299003,-0.0010662716730088,False,4.0,10.0
tcn,11,3,0.13235178440809242,0.009807385243489435,0.0031255425885319196,0.00135202435776586,0.0002683720930232,0.0001531258397474,False,2.0,3.0
tcn,11,4,0.0602531589567661,0.002684063154794263,0.0014229432912543,0.00135202435776586,0.0014392732558139,0.0008357459187949,False,5.0,2.0
tcn,11,5,0.0,0.0,0.0,0.00135202435776586,0.0,0.0,False,10.0,5.0
tcn,11,6,0.53713259100914,0.04161483096311721,0.012725332565605601,0.00135202435776586,-0.0002627699335548,-0.0001556840679535,False,1.0,8.0
tcn,11,7,0.01806036382913586,0.0012707852059743938,0.00042641407926564,0.00135202435776586,-0.0018194725913621,-0.0010750055645134,False,7.0,11.0
tcn,11,8,0.0045928043313324205,0.0003885307130966886,0.0001086978256352871,0.00135202435776586,5.223006644519135e-05,3.92601875117915e-05,False,9.0,4.0
tcn,11,9,0.0,0.0,0.0,0.00135202435776586,0.0,0.0,False,10.0,5.0
tcn,11,10,0.12183624804019924,0.02693266648088995,0.00287072584033008,0.00135202435776586,0.019007545681063,0.0106584624989995,False,3.0,1.0
tcn,11,11,0.005633184872567599,0.00015814713059884706,0.00013321764126883999,0.00135202435776586,-3.865863787373413e-05,-2.770342978193341e-05,False,8.0,7.0
tcn,19,1,0.046888700872659624,0.004706215086218744,0.00153646057005966,0.00244846134446556,0.0016102076411959,0.0013211554564726,False,7.0,3.0
tcn,19,2,0.05754046663641924,0.001852127299278528,0.0018908421741797798,0.00244846134446556,-0.004206200166113,-0.0025708534543385,False,5.0,10.0
tcn,19,3,0.08270748406648631,0.0038540092395135004,0.00271629295311864,0.00244846134446556,0.0014593355481727,0.0008907230968864,False,4.0,4.0
tcn,19,4,0.04818372502923008,0.0027695778536765926,0.0015810047741978799,0.00244846134446556,-0.0124914617940199,-0.0080968470879307,False,6.0,11.0
tcn,19,5,0.0,0.0,0.0,0.00244846134446556,4.152823929182148e-09,0.0,False,10.0,7.0
tcn,19,6,0.17091718912124632,0.018915506765147534,0.00560231562703844,0.00244846134446556,0.0001732931893687,0.0001143452419045,False,3.0,5.0
tcn,19,7,0.4033285081386566,0.02028521503452923,0.013293516822159259,0.00244846134446556,0.1354698629568106,0.0924891183890765,True,1.0,1.0
tcn,19,8,0.18291404247283932,0.01597019845758092,0.00603295257315034,0.00244846134446556,0.0554896013289036,0.0335125807492329,True,2.0,2.0
tcn,19,9,0.0,0.0,0.0,0.00244846134446556,4.152823929182148e-09,0.0,False,10.0,7.0
tcn,19,10,0.00307355532422656,0.0006028115239154862,0.00010088862181870822,0.00244846134446556,-9.168604651166312e-05,-5.642079450536297e-05,False,9.0,9.0
tcn,19,11,0.00444632666185494,0.0003581688519977085,0.00014572167419822,0.00244846134446556,9.694352159466124e-05,6.144047175717925e-05,False,8.0,6.0
tcn,23,1,0.12606835365295405,0.0058407664724325955,0.0015973693924024,0.00085242176428432,-0.0009408720930232,-0.0005638015615672,False,4.0,10.0
tcn,23,2,0.12662526071071617,0.0033624089209652675,0.0016043581534176399,0.00085242176428432,0.0001651204318936,0.0004046229435516,False,3.0,4.0
tcn,23,3,0.30830101370811464,0.013875955768446913,0.0039050103165208802,0.00085242176428432,0.0257531852159468,0.0209590309471053,True,1.0,1.0
tcn,23,4,0.0832681983709335,0.002867089752099125,0.00105429117102172,0.00085242176428432,-0.0098258388704319,-0.0098891485372938,False,5.0,11.0
tcn,23,5,0.0,0.0,0.0,0.00085242176428432,4.152823884773227e-09,0.0,False,10.0,7.0
tcn,23,6,0.30699715018272394,0.02374259722574799,0.0038982782512902796,0.00085242176428432,0.0005729069767441,0.000394199494738,False,2.0,2.0
