architecture,fault_id,fault_class,spearman,ig_top_channel,chum_top_channel,top1_agreement,top3_overlap,material_chum_cells,mean_abs_convergence_delta
tcn,1,negative_or_exploratory,0.7077625570776256,3,4,False,1,0,0.009372788202017502
tcn,4,primary,0.3424657534246575,6,10,False,2,1,0.00097085201414298
tcn,11,negative_or_exploratory,0.08675799086757992,6,10,False,2,0,0.0013520243577658602
tcn,19,primary,0.5799086757990868,7,7,True,2,2,0.0024484613444655597
tcn,23,negative_or_exploratory,0.497716894977169,3,3,True,2,1,0.00085242176428432
tcn,25,primary,0.5525114155251142,2,2,True,1,1,0.0024880885146557796
tcn,26,primary,0.6894977168949772,4,4,True,2,0,0.0030474875587969403
tcn,27,negative_or_exploratory,-0.17808219178082194,6,10,False,0,0,0.0008524896926246201
transformer,1,negative_or_exploratory,0.5068493150684932,3,4,False,1,0,0.0028517508413642
transformer,4,primary,0.13242009132420093,10,10,True,1,1,0.0015124053927138002
transformer,11,negative_or_exploratory,0.03196347031963471,6,10,False,1,0,0.00143268972169602
transformer,19,primary,0.4246575342465754,7,7,True,2,2,0.00375071712769564
transformer,23,negative_or_exploratory,-0.0958904109589041,2,3,False,1,1,0.0012645880924537203
transformer,25,primary,0.8082191780821917,2,2,True,2,1,0.003915655100718099
transformer,26,primary,0.5342465753424658,4,4,True,2,0,0.0035034413915127002
transformer,27,negative_or_exploratory,0.11415525114155252,6,4,False,2,0,0.0011199753265827598
