condition,fault_id,group,auroc_loss_mean,auroc_loss_sd,positive_seeds,signflip_p,bh_q_global,bh_q_within_fault,fpr_delta_mean,fpr_delta_ci_low,fpr_delta_ci_high,ci_outside_tolerance,ci_fully_inside_tolerance
keep_last_1,1,NO_GAIN,0.00019976328903652528,6.767383617220804e-05,5,0.0625,0.11824324324324324,0.10416666666666667,0.0008,-0.001,0.0025512499999999824,False,True
keep_last_1,2,NO_GAIN,0.0004945431893688124,7.67685508058044e-05,5,0.0625,0.11824324324324324,0.10416666666666667,0.00015000000000000001,-0.00115,0.0014000000000000002,False,True
keep_last_1,3,GAIN,0.004800066445182716,0.0025820004949714498,5,0.0625,0.11824324324324324,0.1171875,-0.0009,-0.00235,0.00045000000000000015,False,True
keep_last_1,4,GAIN,0.19622481312292367,0.0849108091676506,5,0.0625,0.11824324324324324,0.1171875,0.00165,0.00039999999999999986,0.0028500000000000005,False,True
keep_last_1,5,NO_GAIN,-0.00219336794019932,0.001998215392684918,1,0.125,0.205078125,0.20833333333333334,-0.0004000000000000002,-0.0018500000000000003,0.0010999999999999998,False,True
keep_last_1,6,NO_GAIN,-5.221760797344821e-05,1.0873327062053031e-05,0,0.0625,0.11824324324324324,0.13392857142857142,0.0007500000000000001,-0.0006999999999999999,0.00235,False,True
keep_last_1,7,GAIN,8.511627906970798e-05,7.754406321744101e-05,5,0.0625,0.11824324324324324,0.13392857142857142,-4.999999999999988e-05,-0.0015,0.0015,False,True
keep_last_1,8,NO_GAIN,-0.00028917774086372193,0.00023616083153868734,0,0.0625,0.11824324324324324,0.15625,0.0009000000000000001,-0.0009,0.0027999999999999995,False,True
keep_last_1,9,NO_GAIN,-0.0032452782392026645,0.0009827962772129056,0,0.0625,0.11824324324324324,0.13392857142857142,0.00010000000000000005,-0.0012,0.0013999999999999998,False,True
keep_last_1,10,NO_GAIN,0.005345805647840485,0.0018477221625239088,5,0.0625,0.11824324324324324,0.08522727272727272,0.0008500000000000001,-0.0008,0.00275,False,True
keep_last_1,11,NO_GAIN,0.007357080564784124,0.0027688293885716874,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0008499999999999998,-0.0020500000000000006,0.00045000000000000015,False,True
keep_last_1,12,NO_GAIN,0.002933434385382072,0.0027975111370941853,4,0.125,0.205078125,0.1875,0.0006500000000000002,-0.0007499999999999999,0.00205,False,True
keep_last_1,13,NO_GAIN,0.00055495431893684,0.0002864801522787005,5,0.0625,0.11824324324324324,0.10416666666666667,-0.00155,-0.0030499999999999998,-2.596664203102862e-19,False,True
keep_last_1,14,NO_GAIN,0.0004681686046512423,0.0006422195408894401,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0010999999999999998,-0.003,0.0008499999999999998,False,True
keep_last_1,15,NO_GAIN,0.004620984219269086,0.0011371886140899854,5,0.0625,0.11824324324324324,0.1171875,-8.673617379884036e-20,-0.0009999999999999998,0.00105,False,True
keep_last_1,16,NO_GAIN,0.0011158305647840593,0.0021348504641010547,4,0.3125,0.4605263157894737,0.5859375,-0.00015000000000000004,-0.0018499999999999999,0.0015,False,True
keep_last_1,17,NO_GAIN,0.00034131644518278217,0.0003119000852352747,4,0.125,0.205078125,0.3125,-0.00014999999999999996,-0.0017499999999999998,0.0013999999999999998,False,True
keep_last_1,18,NO_GAIN,0.003531220930232548,0.002545250664218866,4,0.125,0.205078125,0.234375,-0.0009999999999999998,-0.0024,0.0004000000000000001,False,True
keep_last_1,19,GAIN,0.05981653654485053,0.015979790870567032,5,0.0625,0.11824324324324324,0.08522727272727272,-0.00024999999999999984,-0.00205,0.00155,False,True
keep_last_1,20,NO_GAIN,0.0009585714285714975,0.0003525691878246745,5,0.0625,0.11824324324324324,0.15625,-0.0010500000000000002,-0.0021999999999999997,5.00000000000001e-05,False,True
keep_last_1,21,NO_GAIN,-0.0011464991694352445,0.0017383118909522896,1,0.25,0.37906137184115524,0.375,-0.0004000000000000002,-0.0019,0.0010999999999999996,False,True
keep_last_1,22,NO_GAIN,-0.0027791901993355684,0.0012797560351375963,0,0.0625,0.11824324324324324,0.09375,0.0005000000000000002,-0.0012499999999999998,0.0021000000000000003,False,True
keep_last_1,23,NO_GAIN,0.0117958803986711,0.0008117389966306207,5,0.0625,0.11824324324324324,0.10416666666666667,0.0013999999999999998,-0.0001,0.00295,False,True
keep_last_1,24,GAIN,0.00700584302325582,0.0032145892224121316,5,0.0625,0.11824324324324324,0.1171875,0.0004,-0.0010999999999999998,0.0018500000000000003,False,True
keep_last_1,25,GAIN,0.08368677325581393,0.014995077721358703,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0011499999999999995,-0.003,0.0008999999999999998,False,True
keep_last_1,26,GAIN,0.16422381644518275,0.024230928168568127,5,0.0625,0.11824324324324324,0.09375,-0.00105,-0.0026499999999999996,0.0005000000000000004,False,True
keep_last_1,27,NO_GAIN,0.01912423172757476,0.005537022701928385,5,0.0625,0.11824324324324324,0.09375,0.0002499999999999999,-0.00095,0.0014999999999999998,False,True
keep_last_1,28,NO_GAIN,0.005645747508305665,0.0008584982332605538,5,0.0625,0.11824324324324324,0.09375,0.0026,0.0008500000000000003,0.004449999999999999,False,True
keep_last_10,1,NO_GAIN,9.735880398673569e-05,5.0050312155601345e-05,5,0.0625,0.11824324324324324,0.10416666666666667,0.0007,-0.0006499999999999998,0.002,False,True
